No,ID_Perfume,perfume,brand,top notes,mid notes,base notes,is_lokal
46,HRMN-0046,Essence Of The Sun (EOS),HMNS,"Bergamot, Coriander Seeds, Pink Pepper","Tropical Flower, Jasmine, Rose, Solar Accord	","Vanilla, Tonka Bean, Ambrette, Cedar Wood",TRUE
47,HRMN-0047,Essence of The Night,HMNS,"Bergamot, Tuberose","Ylang ylang, violet leaves, jasmine absolute","amberwood, musk",TRUE
48,HRMN-0048,Unrosed,HMNS,FLORAL,EARTHY,NOTES MUSKY,TRUE
49,HRMN-0049,The Perfection,HMNS,"BERGAMOT, ELEMI, CLOVE, NUTMED","LAVENDER, TAGETES, LILY OF THE VALLEY, GREEN PEAR","DRIFTWOOD, SANDALWOOD, LEATHER, WHITE MUSK",TRUE
50,HRMN-0050,The Prestige,HMNS,"GRAPEFRUIT, TOBACCO LEAVES, PINK PEPPER JUNGLE ESSENCE","PATCHOULI, GERANIUM, ORRIS","TOLU, VETIVER, LABDANUM",TRUE
51,HRMN-0051,Untitled Humans,HMNS,"CORIANDER, VIOLET LEAVES, AMBRETTE","FIGOLIDE, VELVET NOTE, ROSE ABSOLUTE","SANDALWOOD, CYPRIOL, VANILLA JUNGLE ESSENCE",TRUE
52,HRMN-0052,Unpatched,HMNS,"JASMINE SAMBAC, VANILLA MADAGASCAR, COKELAT","KARAMEL, AKIGALAWOOD, MAWAR","TONKA BEAN BRAZIL, AMBER, MUSK",TRUE
53,HRMN-0053,Ambar Janma,HMNS,"BERGAMOT, ELEMI, CLOVE, NUTMED","LAVENDER, TAGETES, LILY OF THE VALLEY, GREEN PEAR","DRIFTWOOD, SANDALWOOD, LEATHER, WHITE MUSK",TRUE
54,HRMN-0054,Addict,HMNS,BERRIES,"RED ROSE, COFFEE","PATCHOULI, AMBER, TONKA BEANS",TRUE
55,HRMN-0055,FWB,ONIX,"Bergamot, Lemon, Orange, Apple, Green tea","Freesia, White Floral, Amber, Peach, Coconut","Amber, Vetiver, Musk, Vanilla, Cedarwood, Caramel",TRUE
56,HRMN-0056,GALA,ONIX,"Cassis, Peach, & Opoponax","Jasmine, Magnolia, Rose, Oudh, & Myyrh","Patchoulli, Amber, Cedarwood, Guaiac Wood, Musk & Vanilla",TRUE
57,HRMN-0057,OSCAR,ONIX,Floral,Amber & Lactone,Musk & Moss Amber,TRUE
58,HRMN-0058,SENOPARTY,ONIX,"Saffron, fir, bergamot, nagarmotha","Oud, white floral, tageta","Amber, musk, caramel cedar, moss",TRUE
59,HRMN-0059,SCORPIO,ONIX,"Pink Pepper, Orange Blossom","Jasmine, Coffee","Vanilla, Patchouli, Cedarwood",TRUE
60,HRMN-0060,Call Me Bento,ONIX,"Marigold, Bergamot, Lemon, Prune, Tagete","Jasmine sambac, Ylang, Rose, Coconut, Clove, Orange flower","Amber Benzoin, Musk, Vanilla, Cabrueva, Cedar",TRUE
61,HRMN-0061,CHILLIN' BABY ,ONIX,"peach, apple, melony","Floral bouquet of mimosa, tuberose, freesia, jasmine and ylang ylang","sandalwood, musk, oakmoss",TRUE
62,HRMN-0062,FRESHBOOK PASSION,ONIX,"Fruity cocktail of blackcurrant, red apple, raspberry and mango","Consist of floral bouquet of jasmine, violet, plum and blach fig","Musk, sandalwood, cedarwood, amber and vanilla",TRUE
63,HRMN-0063,GRATITUDE,ONIX,"Green, Fruity, Ozone","White Floral, Caramel, Lactone, Violet","Amber, Musk, Vanilla, Sandalwood, Cedarwood",TRUE
64,HRMN-0064,MEXICOLA,ONIX,"Raspberry, apple, pineapple","Jasmine, muguet, cyclamen, freesia","Sandalwood, coconut, musk, tonka, vanilla, caramel",TRUE
65,HRMN-0065,CONCERT,ONIX,"Bergamot, Pink Pepper, & & Mandarin",Frankincense & Jasmine,"Sandalwood, Musk, Patchoulli, & Vanilla",TRUE
66,HRMN-0066,Rose d'amour,LAYR,"Lychee, Bergamot, Incense, Pear, Heirloom Tomato","Bulgarian Rose, Grapefruit, Peony, Lily of the Valley","Vanilla Bali, Vetiver, Musk, Cashmere Wood",TRUE
67,HRMN-0067,BEFORE PETRICHOR,LAYR,"Basil, Spearmint, Neroli, Lemon, Petitgrain, Mandarin, Watermelon","Cyclamen, White Floral, Orange Flower, Rose, Cedarleaf, Olibanum","Vetiver, Musk, Olibanum, Moss",TRUE
68,HRMN-0068,CHRONIC TONIC,LAYR,"Chronic Cinnamon, Grapefruit, Raspberry, Cypress, Thyme, Rosemary.","Lactone, Iris, Muguet, Rose, Saffron, Violet, Floral, Mandarin Orange.","Musk, Moss, Vanilla Amber, Patchouli, Vetwer, Leather, Sandalwood, Leather, Olibanum.",TRUE
69,HRMN-0069,Empty Room,LAYR,"Paper, Cotton, Lemon, Pink Peppercorn, Fig Leaves","Rose, Orange Flower, Dried Flower Base Dust, Musk, Incense, Sandalwood",,TRUE
70,HRMN-0070,FORBIDDEN GARDEN,LAYR,"Green Apple, Rose, Blackberry, Geranium, Violet","Jasmine Sambac, Ylang ylang, Orris, Raspberry, Red Apple","Musk, Patchouli, Sandalwood, Vanilla, Vetiver",TRUE
71,HRMN-0071,GET NAKED,LAYR,"Tobacco, Green Pear, Violet, Orange, Petitgrain, Galbanum, Pine.","Magnolia, Sandalwood, Rose, Pineapple, Lavender, Geranium, Freesia.","Amber, Cedar, Musk, Patchouli, Leather, Moss, Tonka.",TRUE
72,HRMN-0072,KYOTO JAZZ,LAYR,"Matcha, Green, Yuzu, Pear, Bergamot, Cocoa, Cardamom, Lavandin, Ozone.","Ylang ylang, Violet, Beeswax, Orange Blossom, Lily of the Valley, Cassis, Pineapple.","Musk, Sandalwood, Amber, Iris, Cashmere, Vanilla, Patchouli, Moss, Labdanum.",TRUE
73,HRMN-0073,High Tide Low Tide,LAYR,"Lemon, Orange Flower, Tangerine, Bergamot, Rosemary","Driftwood, Coastal Trees, Earthy Sand","Musk, Cedarwood, Wild Patchouli",TRUE
74,HRMN-0074,MIDNIGHT HAZE,LAYR,"Pink Pepper, Cardamon, Lavender, Tuberose, Tulip, Grass.","Oud, Jasmine, Cedarwood, Lily of the Valley, Ylang ylang, Orange Flower.","Amber, Vanilla, Musk, Sandalwood, Tonka Bean, Vetiver.",TRUE
75,HRMN-0075,SECOND SKIN,LAYR,"Blackpepper, Bergamot, Clary Sage, Mandarin, Green, Tagete","Rose, Orange Flower, Violet, Lily of the Valley, Jasmine, Fruity","Patchouli, Amber, Musk, Cedar, Lactone, Labdanum, Vanilla",TRUE
76,HRMN-0076,SLOW DANCE,LAYR,"Plum, Black Pepper, Bergamot, Cassis, Green Apple, Green Tea, Thyme","Rose Turkish, Magnolia, Jasmine Sambac, Iris, Freesia, Clove, Fruity, Clary Sage, Nutmeg","Amber, Vanilla, Vetiver, Patchouli, Caramel, Musk",TRUE
77,HRMN-0077,VELVET DREAM,LAYR,"Black Cherry, Cypress, Elem, Citrus, Labdanum, Orange, Almond.","Patchouli, Olibanum, Guaiacwood, Strawberry, Blackcurrant, Whiskey Bourbon.","Cedar, Vetwer, Musk, sandalwood, Amber, Vanilla, Raspberry, Peach, Heliotrope.",TRUE
78,HRMN-0078,VILA ENIGMA,LAYR,"Mint, Sunscreen, Coconut Milk, Honeysuckle, Pear Blossom, Figolide","Tuberose, Jasmine Sambac, Gardenia, Ambrette","Bourbon Vanilla, Sandalwood, Musk, Patchouli, Ambergris",TRUE
79,HRMN-0079,Heiress of Minahasa,Project 1945,"Bergamot, Mandarin, Pepper, Rhubarb","Rose, Incense, Patchouli, Cashmere Wood","Vetiver, Sandalwood, Benzoin, Musky",TRUE
80,HRMN-0080,Symphony of Borobudur,Project 1945,"Fig, Mandarin, Tuberose","Violet, Incense, Sandalwood, Milk","Vanilla, Tonka, Benzoin, Musky",TRUE
81,HRMN-0081,Bamboe Roencing,Project 1945,"Bergamot, Marine, Green Leaves","Freesia, Waterlily, Osmanthus, White Jasmine, Rose","Musk, Precious Woods, Dry Fruits",TRUE
82,HRMN-0082,The Great Batavia,Project 1945,"Apple, Lemon, Watermelon, Spearmint","Lavender, Clove Indonesia, Geranium, Elemi","Patchouli Indonesia, Vanilla, Tonka Bean, Moss",TRUE
83,HRMN-0083,Horas,Project 1945,"Rum, chocolate","coffee, caramel, almond, heliotrope","vetiver, sandalwood",TRUE
84,HRMN-0084,Petruk,Project 1945,"lemon, apple, lavender, pepper","leather, cardamom, rose","cedarwood, vetiver",TRUE
85,HRMN-0085,Samosir,Project 1945,"Bergamot, Green","Jasmine, Honeysuckle, Green Tea, Honey","Labdanum, Musk",TRUE
86,HRMN-0086,Waters of Maluku,Project 1945,"Grapefruit, Carrot, Green Tea","Lotus, Peony, Cinnamon","Clove, Cistus, Incense, Musk",TRUE
87,HRMN-0087,Fields of Ubud,Project 1945,"Ambrette Seeds, Buchu Leaves, Bergamot, Elemi","Lavender, Sea Salt, Sage, Dried Fruit","Vetiver Java, Sandalwood, Oakmoss",TRUE
88,HRMN-0088,Princess of Java,Project 1945,"Peach, Green Pear, Bitter Orange","uberose, Neroli, Jasmine, Orange Blossom","Vanilla, Sandalwood, Musk, Amber",TRUE
89,HRMN-0089,Sunset in Sumba,Project 1945,"Mandarin, Red apple, Cardamom, Elemi","Lavender, Incense, Clove","Patchouli, Vanilla",TRUE
90,HRMN-0090,Nusantara's Embrace,Project 1945,"Citrus, Incense, Star Anise","Rice, Black Orris, Water Lily","Sesame, Sandalwood, Hay",TRUE
91,HRMN-0091,Apresiasi,Project 1945,"Bergamot, Ambrette Seed, Orange","Neroli, Petitgrain, Musk","Vetiver, Cedarwood, Amber",TRUE
92,HRMN-0092,Jeruk Of Kintamani ,Bali Surfers Perfume,"Orange, Grapefruit","Lime, Green Tea","Musk, Cedarwood",TRUE
93,HRMN-0093,Papan selancar for her,Bali Surfers Perfume,"Strawberry Candy, Soursop, Watermelon",Soursop,Soapy,TRUE
94,HRMN-0094,Dreamland for Her,Bali Surfers Perfume,Biscuit Butter,-,-,TRUE
95,HRMN-0095,Surfing club,Bali Surfers Perfume,Sweet orange,Woody,-,TRUE
96,HRMN-0096,Festival Layangan,Bali Surfers Perfume,"Lemon, Green","Vanilla, Patchouli","Amber, musk",TRUE
97,HRMN-0097,The Ubud 3,Bali Surfers Perfume,Pineapple ,Saffron,-,TRUE
98,HRMN-0098,Balangan and Me,Bali Surfers Perfume,grapefruit,"Cedar, tonka bean",-,TRUE
99,HRMN-0099,Dreamland ,Bali Surfers Perfume,"Nutmeg, Lavender",Patchouli,-,TRUE
100,HRMN-0100,Bali Cliff 2,Bali Surfers Perfume,Citrussy,"Lavender, Almond, Flowery, Saparila","Vanilla, Amber, Woody",TRUE
101,HRMN-0101,Bali Cliff 1,Bali Surfers Perfume,"Pink Papper, Bergamot, Apple, Cardamom","Oakmoss, Cinnamon, Lavender","Chestnut, Vanilla, Cedarwood",TRUE
102,HRMN-0102,Papan selancar ,Bali Surfers Perfume,"Hazelnut, Nutty, Honey",Bergamot,"Vanila, Patchouli",TRUE
103,HRMN-0103,Double SIX,Bali Surfers Perfume,"Citrussy, Aromatic , Fresh Spicy, Aquatic",-,-,TRUE
104,HRMN-0104,The Ubud ,Bali Surfers Perfume,"Peach, Rose",-,"Patchouli, Musk",TRUE
105,HRMN-0105,Kuta 7 pm,Bali Surfers Perfume,"Lychee, Citrussy ","Bamboo, Tea","Musk, Amber",TRUE
106,HRMN-0106,Kuta 7 am,Bali Surfers Perfume,"Lychee, Citrussy, Jasmine, Flowery","Musk, Woody",-,TRUE
107,HRMN-0107,For her,Bali Surfers Perfume,"citrus, bergamot","rose, jasmine","musk, amber",TRUE
108,HRMN-0108,Blue Point,Bali Surfers Perfume,"Cytrus, Fruity, Oceanic","Flowery, Worm Spicy, Marine","Musky, Woody",TRUE
109,HRMN-0109,Bali Cliff for her,Bali Surfers Perfume,"Fruity, Watermellon",-,-,TRUE
110,HRMN-0110,Zephyr,Oullu,"licorice, almond","ground pistachio, rhubarb","ambergris, vanilla",TRUE
111,HRMN-0111,Phobos,Oullu,"Bitter Orange, Wormwood, Saffron","Muguet, Pink Pepper, Jasmine","Amber, Musk, Tonka Bean, warm woody",TRUE
112,HRMN-0112,Dia,Oullu,"Yuzu, Poppy, Carambola","Ylang, Tuberose, Orange Blossom","Musk, Heliotrope, Oris",TRUE
113,HRMN-0113,Solar Rays,Oullu,"caramel popcorn, brown sugar, tangerine","orchid, Chinese osmanthus","tonka bean, bourbon vanilla, sandalwood",TRUE
114,HRMN-0114,Deep Dive,Oullu,"lemon blossom, barley, ozonic","sage, hinoki","oak moss, cashmere wood",TRUE
115,HRMN-0115,Aether,Oullu,"darjeerling, sapodilla","cucumber , magnolia","virginia cedar, jasmine",TRUE
116,HRMN-0116,Ego,Oullu,"cassis, fig","violet, geranium","cedar, patchouli",TRUE
117,HRMN-0117,Umbra,Oullu,"amalfi lemon, grapefruit","clove, blackpepper","oak moss, pine Perfect",TRUE
118,HRMN-0118,Zephyr,Oullu,"bergamot, lemon","jasmine, apricot","amber, sandalwood",TRUE
119,HRMN-0119,Bird Song,Oullu,"ineapple, water lily, hortensia","kumquat plum, anise","amberwood, myrrh",TRUE
120,HRMN-0120,One and Only,Oullu,"apple, melon","marine, lychee","jasmine, musk, amber",TRUE
121,HRMN-0121,Nothing,USUAL,Fruity,White floral,"Ambroxide, amber",TRUE
122,HRMN-0122,Smells Like Nothing,USUAL,ozonic,floral,"Ambroxide, amber, musk",TRUE
123,HRMN-0123,Jasmine Bouquet,USUAL,Marigold,"jasmine, honey","labdanum, benzoin, vanilla",TRUE
124,HRMN-0124,Bergamore,USUAL,"Bergamot, mandarin","black tea, ginger","ambroxide, amber",TRUE
125,HRMN-0125,Our of Shower,USUAL,"Bergamot, pepper","geranium, lavender","patchouli, vetiver",TRUE
126,HRMN-0126,Blush,USUAL,"Zapota, Melon Seeds","Sandalwood, Magnolia, Violet",Hedione,TRUE
127,HRMN-0127,Rosie De Marrie,The Body Tale,"Mandarin, Lemon, Bergamot, Pear, Pink Pepper","Rose, Orange Blossom, Vetiver","Patchouli, Vanilla, Caramel, Amberwood",TRUE
128,HRMN-0128,Cherry Pop,The Body Tale,Bitter Almond,"Rose, Cherry","Vanilla, sandal wood, tonka bean",TRUE
129,HRMN-0129,Sip Me Litch,The Body Tale,"lychee, apple",floral,"sugar, amber",TRUE
130,HRMN-0130,Spice Nomad,The Body Tale,"Apple, Smoke, Cinnamon","Tobacco, Moss, Vetiver",Vanilla,TRUE
131,HRMN-0131,Summer Splash,The Body Tale,"soda, bergamot","amber, woody",orange blossom,TRUE
132,HRMN-0132,Hojicha Latte,The Body Tale,Hojicha tea,milk,"tonka bean, brown sugar, musk",TRUE
133,HRMN-0133,Portrait of Kyoto,The Body Tale,"earl grey tea, apple, honey, mandarin","jasmine, black tea, fresia, irish","musk, pepper, sandalwood, amber",TRUE
134,HRMN-0134,Verona,The Body Tale,"black currant, pink pepper","rose, geranium","patchouli, moss, vetiver, musk",TRUE
135,HRMN-0135,Lady M,The Body Tale,balsamic,balsamic,"vanilla, musk",TRUE
136,HRMN-0136,Kairy,The Body Tale,"Bergamot, pink pepper","turkish rose, floral, coconut","vanilla, absolute tonka bean, cedarwood",TRUE
137,HRMN-0137,Nectar of Nile,The Body Tale,"Irish, Green Notes, Juniper Berries","Jasmine, Orrid, Root","Pink Pepper, Vetiver, Leather",TRUE
138,HRMN-0138,Juliette,The Body Tale,"cinnamon, cardamom, bergamot","jasmine, ylang ylang, sage","amber, woody, leather, labdanum",TRUE
139,HRMN-0139,Diana,The Body Tale,strawberry,"tuberose, jasmine",amber,TRUE
140,HRMN-0140,Teamomile,The Body Tale,almond,"chamomile, jasmine, musk","cedre, vanilla, bois de santal",TRUE
141,HRMN-0141,Plain Jane,The Body Tale,"lemon, bergamot, tagetes, black currant","violet, irish, cyclamen, jasmine","vetiver, musk",TRUE
142,HRMN-0142,Flower Dome,The Body Tale,"rose violet, blackberry","peomy, jasmine","musk, sandalwood, patchouli, ",TRUE
143,HRMN-0143,Leviora,The Body Tale,"lily, galbanium","lily, vanila","musk, sandalwood",TRUE
144,HRMN-0144,Humbling Forest,Kahf,"Cypress, Rosemary, Grapefruit","Cedarwood, Guaiac Wood, Jasmine.","Sandalwood, Patchouli, Musk.",TRUE
145,HRMN-0145,Invigorating Waterfall,Kahf,"Marine, Water, Lemon","Cedarwood, Floral, Violet","Dry Amber, Patchouli, Veliver, Musk ",TRUE
146,HRMN-0146,Kahf Revered Oud,Kahf,"Rose, lemon, fruity","Amber, gourmand","Vanilla, agarwood (oud), musk​",TRUE
147,HRMN-0147,Kahf Saffron Oud,Kahf,"Mandarin, Saffron, Clove.","Rose, Leather, Oud.","Cedarwood, Patchouli, Sandalwood, Musk.",TRUE
148,HRMN-0148,True Brotherhood,Kahf,"Cinnamon, Orange, Lemon.","Tobacco, Cypress, Lavender.","Tonka Beans, Cedarwood, Incense.",TRUE
149,HRMN-0149,Galleria,Alchemist Fragrance,"Cape Jasmine, Plum","Tuberose, Oiellet","Honey, Redwood",TRUE
150,HRMN-0150,Pink Laundry,Alchemist Fragrance,"Clean Aldehydes, Chamomile, Green Notes","Jasmine, Lily of the Valley, Rose","Musky Notes, Patchouli, Sandalwood, Powdery Notes",TRUE
151,HRMN-0151,Bois et Musc,Alchemist Fragrance,Black Pepper,"Muguet, Cashmeran","Patchouli, Musk, Moss",TRUE
152,HRMN-0152,Cachemire,Alchemist Fragrance,"Cinnamon Bark Oil, Pepper Pink CO2, Apple","Rose Accord, Violet Notes, Ambrette ABS","Cedarwood Heart, Virgina, Musk",TRUE
153,HRMN-0153,Musc Laiteux,Alchemist Fragrance,"Pink Pepper, Orange Flower","Orris Crete, Transparent Floral, Riz Au Lait Accord","Ambrette ABS, Patchouli Oil",TRUE
154,HRMN-0154,Musc Vanille,Alchemist Fragrance,"Pink Pepper, Black Pepper","White Floral Bouquet, Coconut Accord","Musk, White Woods, Vanilla",TRUE
155,HRMN-0155,Onirique,Alchemist Fragrance,"Pear, Orange, Clary Sage","Tuberose, Orange Blossom, Jasmine","Vanilla, Cedarwood, Satin Musks",TRUE
156,HRMN-0156,Out West,Alchemist Fragrance,"Yuzu, Bergamot, Green Apple","Cedarwood, Rose, Plum","Musk, Patchouli, Vetiver",TRUE
157,HRMN-0157,Home Garden,Alchemist Fragrance,"Blackberry, Grapefruit, Clove","Cedar, Vetiver",Floral Notes,TRUE
158,HRMN-0158,Got My Mojo Back,Alchemist Fragrance,"Bergamot, Saffron","Rose, Jasmine","Sandalwood, Amber, Musk, Patchouli",TRUE
159,HRMN-0159,LET'S FREAKING GO,Memoir Perfumery,"Lavender, Bergamot, Magnolia","Myrrh, Amber, Guaiac Wood","Tonka Bean, Vanilla, Almond",TRUE
160,HRMN-0160,Weekend,Filosophia,"lime, apple","red lily, lavender, ginger",vanilla,TRUE
161,HRMN-0161,Fly Me To The Moon,Filosophia,"Orange, Bergamot","Saffron, White Floral, Rum, Seasalt, Nutmeg","Warm Leather Accord, Black Amber, Cedarwood, Patchouli, Vetiver",TRUE
162,HRMN-0162,Bella Luna,Filosophia,"Fresh Berries, Plum, Green Apple","Jasmine, Orchid, Lily","Caramel, Vanilla",TRUE
163,HRMN-0163,Party Anthem Royale,Filosophia,"Lavender, Lemon","Violet, Cypress, Ambroxan","Oud, Coffee, Tonka Bean, Deer Musk",TRUE
164,HRMN-0164,Party Anthem,Filosophia,"passion fruit, bergamot","cocktails, mint, pear","lavender, leather",TRUE
165,HRMN-0165,Bed of Roses,Filosophia,"bergamot, pomelo","rose, magnolia, violet","cedar, musk",TRUE
166,HRMN-0166,Party Anthem Weirdo,Filosophia,"tobacco, clove","roasted marshmallow, almond",vanilla,TRUE
