No,ID_Perfume,perfume,brand,top notes,mid notes,base notes,is_lokal
16310,FRGN-16310,1000-kisses-deep,b-never-too-busy-to-be-beautiful,"mandarin orange, amalfi lemon",osmanthus,"myrhh, french labdanum, musk",FALSE
16311,FRGN-16311,just-confess-you-re-obsessed,benefit,"peach, sicilian lemon",white flowers,plum,FALSE
16312,FRGN-16312,al02,biehl-parfumkunstwerke,"plum, peach, amalfi lemon, mandarin orange, bergamot","cinnamon, cardamom, carnation, jasmine, rose","tonka bean, incense, french labdanum, sandalwood, vetiver, patchouli, vanilla, musk",FALSE
16313,FRGN-16313,imperial-limited-edition,boadicea-the-victorious,"lavender, palisander rosewood, angelica, birch","rose, freesia, geranium, jasmine","leather, patchouli, sandalwood, agarwood (oud), guaiac wood",FALSE
16314,FRGN-16314,ignite,boadicea-the-victorious,"cherry, peach, lime, pink pepper","jasmine sambac, violet, heliotrope, rose","musk, amber, vanilla, patchouli, sandalwood, cedar, vetiver, tonka bean",FALSE
16315,FRGN-16315,hasu,boadicea-the-victorious,"saffron, cypress, mandarin orange, violet leaf, sage, lavender","hay, iris, damask rose, osmanthus, nutmeg","balsam fir, amber, pepper, patchouli, musk, moss",FALSE
16316,FRGN-16316,603-cuir-encens-feve-tonka,bon-parfumeur,"violet leaf, nutmeg, lemon","cypress, olibanum, sage","leather, tonka bean, cistus incanus, styrax, cashmeran",FALSE
16317,FRGN-16317,lemon-neroli,bronnley,"sicilian lemon, mandarin orange","neroli, lemon blossom",precious woods,FALSE
16318,FRGN-16318,sincere,contradictions-in-ilk,"milk, ginger flower, peach","orris, ambrette (musk mallow), ylang-ylang","coconut, musk, saffron, amber",FALSE
16319,FRGN-16319,utopia-ii,ajmal,"bergamot leaf, apple, lemon","water notes, cedar, lavender, thyme","amber, oakmoss, patchouli",FALSE
16320,FRGN-16320,sacrifice-for-her,ajmal,"jasmine, water notes","vanilla, orange blossom","ambergris, musk",FALSE
16321,FRGN-16321,miracula,angela-ciampagna,"green accord, cyclamen, sicilian lemon","tuberose, ambrette (musk mallow), amber","musk, exotic woods, vanilla",FALSE
16322,FRGN-16322,havana-pour-elle,aramis,"melon, peach, mandarin orange, apple","heliotrope, ylang-ylang, freesia, rose","cedar, honey, tonka bean, vanilla",FALSE
16323,FRGN-16323,leather-forever,de-gabor,"leather, saffron, truffle, smoke, cinnamon, rosebud","leather, sandalwood, birch, agarwood (oud), patchouli, amber, tuscan iris","leather, castoreum, agarwood (oud), oakmoss, styrax, musk, vanilla",FALSE
16324,FRGN-16324,dkny-be-delicious-city-blossom-rooftop-peony,donna-karan,"apple blossom, bergamot, mandarin orange, black currant","peony, rose, raspberry","amber, mignonette, sandalwood",FALSE
16325,FRGN-16325,dkny-be-delicious-city-blossom-urban-violet,donna-karan,"apple blossom, red berries, mandarin orange","violet, freesia, rose petals","musk, orris root, sandalwood",FALSE
16326,FRGN-16326,klasik-limon-lemon,eyuep-sabri-tuncer,"lemon, orange, bergamot","lemon blossom, floral notes","lemon peel, water notes, musk",FALSE
16327,FRGN-16327,acqua-intense-man,exuma-parfums,"orange, lemon","sea notes, rose, peony","vetiver, musk, jasmine",FALSE
16328,FRGN-16328,verde-di-persia,farmacia-ss-annunziata,"green apple, cassis, artemisia, orange, lemon","pistachio blossom, apricot, osmanthus, rose","amber, palisander rosewood, musk, patchouli",FALSE
16329,FRGN-16329,royal-arms-diamond-edition,floris,"violet leaf, lemon, bergamot","rose, iris, violet, ylang-ylang, jasmine","musk, ambergris, vanilla, patchouli",FALSE
16330,FRGN-16330,bergamotto-positano,floris,"bergamot, sea notes, mandarin orange","vanila, green tea, orange blossom, ginger","vanila, woodsy notes, spices, amber, ambrette (musk mallow)",FALSE
16331,FRGN-16331,cavort-extrait-de-parfum,fragrance-du-bois,"saffron, cinnamon, geranium, davana","rose, ylang-ylang, orange blossom, jasmine","sandalwood, incense, labdanum, patchouli",FALSE
16332,FRGN-16332,honeysuckle,fresh,"peach, ylang-ylang, black currant","honeysuckle, magnolia, jasmine, plum, cyclamen",musk,FALSE
16333,FRGN-16333,mandragore-pourpre,goutal,"star anise, mint, bergamot","pepper, rosemary, geranium, amber","incense, patchouli, heliotrope, myrhh",FALSE
16334,FRGN-16334,les-nuits-d-hadrien,goutal,"green mandarin, sicilian bergamot, sicilian lemon, tangerine","cypress, juniper, caraway, basil, ylang-ylang","patchouli, amber, musk, sandalowood, vanilla",FALSE
16335,FRGN-16335,seductive-red,guess,"cherry, almond, pink pepper","cherry blossom, violet, magnolia","vanilla, tonka bean, sandalwood",FALSE
16336,FRGN-16336,lumiere-d-orient,gres,"black currant, red apple, bergamot, pink pepper","tuberose, frangipani, water jasmine","patchouli, peru balsam, tonka bean",FALSE
16337,FRGN-16337,el-sireno,house-of-bo,"banana leaf, lavender, laminaria","ylang-ylang, magnolia, tuberose","sandalwood, oakmoss, mastic or lentisque",FALSE
16338,FRGN-16338,tiara-lux-edition,house-of-sillage,"tangerine, cinnamon","rose, peony, virginia cedar","vanille, musk, amber",FALSE
16339,FRGN-16339,mellow-yellow,anna-sui,"sugar, passionfruit, peach, lemon","osmanthus, apple tree blossom, jasmine sambac","vanilla, musk, plum wood",FALSE
16340,FRGN-16340,regnum-opus,in-the-box,"almond, tangerine, bergamot, watery notes","civet, cardamom, rose, geranium, gardenia, water lily","vanilla, agarwood (oud), guaiac wood, coffee, sandalwood, oakmoss, patchouli, amber, pink pepper",FALSE
16341,FRGN-16341,ete-du-cocotier,jacques-zolty,"coconut, bergamot","ylang-ylang, jasmine, sea water","vanilla, whipped cream, ambergris, cypriol oil or nagarmotha, tonka bean",FALSE
16342,FRGN-16342,arome-arthes-seduction,jeanne-arthes,"coconut, big strawberry, black currant, bergamot, green notes","white honey, jasmine, rose, orchid, lily","patchouli, caramel, vanille, tonka bean, amber, sandalwood, musk",FALSE
16343,FRGN-16343,colonial-club-ypsos,jeanne-arthes,"red berries, bergamot, grapefruit","rhubarb, lavender, geranium","amber, vetiver, patchouli",FALSE
16344,FRGN-16344,tea-time-a-paris-pavlova,jeanne-arthes,"strawberry, toffee, apple",rose,"whipped cream, vanilla, white musk",FALSE
16345,FRGN-16345,nea,jul-et-mad-paris,"dates, pomegranate, artemisia, palm leaf, black pepper","dried plum, damask rose, jasmine sambac","caramel, vanilla, tonka bean, benzoin, cashmeran, ambroxan, patchouli, musk",FALSE
16346,FRGN-16346,herbae-clary-sage,l-occitane-en-provence,"bergamot, bitter orange, thyme","clary sage, grass, angelica","cashmeran, elemi, amber",FALSE
16347,FRGN-16347,compotas-corporais-jenipa,l-occitane-au-bresil,"tropical fruits, genipapo",peach,"musk, vetiver",FALSE
16348,FRGN-16348,nerotic,laboratorio-olfattivo,"red fruits, bergamot, grapefruit","saffron, coriander, geranium","woody notes, smoke, amber, leather, sandalwood",FALSE
16349,FRGN-16349,plaisir-d-amour,libertin-louison-technique-indiscrete,"kumquat, bergamot","lily-of-the-valley, rose, jasmine, african orange flower","oak moss, musk, patchouli, vetiver",FALSE
16350,FRGN-16350,curve-soul-for-men,liz-claiborne,"bamboo leaf, green apple, bergamot, mandarin orange","litchi, lavender, violet, sage","cedar, spices, sandalwood, oakmoss, amber, vetiver",FALSE
16351,FRGN-16351,spark-for-men,liz-claiborne,"rum, cardamom, pepper","honey, cognac, fig leaf","amber, sandalwood",FALSE
16352,FRGN-16352,fico-pesca,luciano-soprani,"nectarine, fig leaf, calabrian bergamot","fig, violet, pear, cyclamen, jasmine","musk, sandalwood, cedar",FALSE
16353,FRGN-16353,creme-d-nude,mac,neroli,"caramel, musk, suede","madagascar vanilla, ambrette (musk mallow)",FALSE
16354,FRGN-16354,bois-de-turquie,maitre-parfumeur-et-gantier,"mandarin orange, orange blossom, bergamot","west indian bay, orris root, jasmine, geranium","myrrh, sandalwood, incense, patchouli",FALSE
16355,FRGN-16355,no-10-by-mojo,milton-lloyd,"aromatic spices, brazilian rosewood","agarwood (oud), cardamom","amber, sandalwood, tonka bean, vetiver",FALSE
16356,FRGN-16356,cuir,mona-di-orio,"cardamom, anise","leather, juniper","castoreum, opoponax",FALSE
16357,FRGN-16357,alada,myrurgia,"lemon, lime, mandarin orange, sage, peach","carnation, jasmine, spicy notes, cyclamen","oakmoss, cedar, leather, musk",FALSE
16358,FRGN-16358,french-cancan,new-brand-parfums,"star anise, orange blossom, pear, rose, mandarin orange, bergamot","iris, tuberose, orchid, ylang-ylang, ginger, plum","vanilla, sandalowood, musk, cinnamon, amber",FALSE
16359,FRGN-16359,l-eau-mixte,nicolai-parfumeur-createur,"grapefruit, cassis, mint, bergamot, italian lemon","rose, jasmine, spicy notes","vetiver, musk, oakmoss",FALSE
16360,FRGN-16360,anonimo-veneziano,nobile-1942,"orange, bergamot, mandarin orange","ylang-ylang, jasmine, lotus, rose","french labdanum, sandalwood, patchouli, vanille",FALSE
16361,FRGN-16361,flame,nuancielo,"bitter orange, bergamot","cinammon, musk","vanilla, tonka bean, sandalwood",FALSE
16362,FRGN-16362,still-life,olfactive-studio,"yuzu, pink pepper, black pepper, elemi, sichuan pepper","galbanum, star anise","rum, virginia cedar, amber",FALSE
16363,FRGN-16363,muguet-fleuri,oriza-l-legrand,"lily-of-the-valley, green leaves, grass","lily-of-the-valley, violet leaf, galbanum, angelica","lily-of-the-valley, lily, oakmoss",FALSE
16364,FRGN-16364,ruby-rush,paris-hilton,"cherry, hibiscus, whipped cream","raspberry bloom, dahlia, water lily","vanilla, musk, sandalwood",FALSE
16365,FRGN-16365,la-petite-fleur-d-amour,paris-elysees,"fruity notes, herbal notes","peach, green notes","white musk, amber, woody notes",FALSE
16366,FRGN-16366,tea-rose-jasmin,perfumer-s-workshop,"rose, lily-of-the-valley","jasmine, tuberose, cedar","sandalwood, amber",FALSE
16367,FRGN-16367,jasmin-de-pays,perris-monte-carlo,jasmine,"tagetes, clove",musk,FALSE
16368,FRGN-16368,extatic-gold-musk,pierre-balmain,"aldehydes, bergamot","tiare flower, cashmere wood, akigalawood","musk, sandalwood, resins",FALSE
16369,FRGN-16369,divine,providence-perfume-co,"bitter orange, coriander, bergamot","neroli, african orange flower, jasmine, rose","amber, ambrette (musk mallow), vanille, angelica, musk",FALSE
16370,FRGN-16370,pra-onde-levam-esses-olhos-castanhos,quem-disse-berenice,"pineapple, sicilian mandarin, sicilian bergamot","peach, jasmine","amber, sandalwood, musk",FALSE
16371,FRGN-16371,oud-delice,robert-piguet,"honey, fig",agarwood (oud),"amber, patchouli, haitian vetiver",FALSE
16372,FRGN-16372,poudre-de-fleurs,royal-crown,"heliotrope, neroli, cardamom, calabrian bergamot, jasmine, lime","jasmine, grasse rose, bulgarian rose, osmanthus","tuscan iris, vetiver, patchouli, sandalwood, mexican vanilla",FALSE
16373,FRGN-16373,ballade-a-venise,roberto-capucci,"marigold, african orange flower, mandarin orange","passionfruit, olive blossom, ylang-ylang, jasmine",galbanum,FALSE
16374,FRGN-16374,stella-eau-de-toilette,stella-mccartney,"iced lemon, freesia, mandarin orange","bulgarian rose, peony, violet leaf",amber,FALSE
16375,FRGN-16375,mandarin-orchid,the-body-shop,"mandarin orange, orange, guava","lily-of-the-valley, orchid","ginger, musk, mahogany",FALSE
16376,FRGN-16376,strawberry-perfume-oil,the-body-shop,"strawberry, red apple, red currant","strawberry, fruity notes, flowers","strawberry, vanilla, nectarine, musk",FALSE
16377,FRGN-16377,sanderling,yves-de-sistelle,"bergamot, tagetes, green notes","tincture of rose, lilac, jasmine","woodsy notes, musk, vanille",FALSE
16378,FRGN-16378,i-m-not-going-to-disturb-you-homme,yohji-yamamoto,"black pepper, artemisia, bergamot","white tabacco, suede","myrrh, amber, vanilla, moss",FALSE
16379,FRGN-16379,h-m-mirabilia,h-m,lily-of-the-valley,"milk, peach","sandalwood, musk",FALSE
16380,FRGN-16380,temptress,harvey-prince,"pumpkin, lavender, citruses","jasmine, freesia, ylang-ylang","cinnamon, nutmeg, amber",FALSE
16381,FRGN-16381,lanvin-l-homme,lanvin,"lavender, bergamot, neroli, mandarin orange","mint, sage, pepper, cardamom","musk, sandalwood, vanilla, amber",FALSE
16382,FRGN-16382,celadon,miller-harris,"tea, verbena, tomato leaf, cardamom","basil, magnolia, rose, lavender, indian tuberose","mate, musk, cedar, moss, smoke",FALSE
16383,FRGN-16383,rose-silence,miller-harris,"black currant, mandarin orange",rose,"patchouli, cashmere musk",FALSE
16384,FRGN-16384,montana-initial,montana,"nutmeg, cardamom, cinnamon, bergamot",tonka bean,cedar,FALSE
16385,FRGN-16385,red-amber,orientica,"red apple, strawberry, orange","raspberry, vanilla","amber, woody notes, musk",FALSE
16386,FRGN-16386,sara,orientica,"rose, grenadine, saffron","amber, woodsy notes, jasmine","vanilla, brown sugar, musk",FALSE
16387,FRGN-16387,musk-sexy,ulric-de-varens,iris,"powdery notes, orris",musk,FALSE
16388,FRGN-16388,guilty-crush,the-house-of-oud,"wild strawberry, black cherry, champagne","lipstick, rose, jasmine","musk, vanilla, benzoin, cedarwood",FALSE
16389,FRGN-16389,dates-delight,the-house-of-oud,"dates, peony","cinnamon, caramel, tonka bean, coumarin","honey, sugar, vanilla, benzoin, labdanum",FALSE
16390,FRGN-16390,bergamote,the-different-company,"bergamot, ginger","orange blossom, green notes","musk, rhubarb",FALSE
16391,FRGN-16391,charmes-et-feuilles,the-different-company,"mint, marjoram, thyme","jasmine, grapefruit, clementine","sage, vetiver, patchouli",FALSE
16392,FRGN-16392,sens-et-bois,the-different-company,"pepper, ginger, bergamot","violet, incense, neroli","cedar, sandalwood, patchouli",FALSE
16393,FRGN-16393,cherry-ambition,the-7-virtues,"cherry, pink pepper, marshmallow, mandarin orange","saffron, cherry blossom, orris, osmanthus","vanilla, frankincense, guaiac wood, amber, musk",FALSE
16394,FRGN-16394,the-hope,thameen,"cinnamon, cloves, myrrh","agarwood (oud), cedar, immortelle","black amber, labdanum, vetiver, musk",FALSE
16395,FRGN-16395,garden-party,skylar,"marzipan, magnolia, kiwi","coconut, almond blossom, gardenia, macarons","vanilla, musk, sandalwood",FALSE
16396,FRGN-16396,be-exceptional,s-t-dupont,"ginger, bergamot, grapefruit","iris, leather, tonka bean","amber, vetiver, patchouli",FALSE
16397,FRGN-16397,oudmanthus,renier-perfumes,"tuberose, osmanthus, bergamot, turkish rose","laotian oud, plum, osmanthus, jasmine, sandalwood","musk, cedar, vanilla absolute, guaiac wood, oakmoss",FALSE
16398,FRGN-16398,cigar,remy-latour,"plum, pineapple, bergamot, pear, amalfi lemon","bay leaf, marigold, geranium, jasmine","tobacco, patchouli, sandalwood, virginia cedar, musk",FALSE
16399,FRGN-16399,mi-fa,reminiscence,"marshmallow, bitter almond, mint, lavender, orange, sicilian bergamot, italian mandarin, rosemary, green notes","neroli, jasmine, petitgrain, black pepper","vanilla, tonka bean, musk, amber, sandalwood, virginia cedar",FALSE
16400,FRGN-16400,moonlight-gypsy,pinrose,"cardamom, cherry, mandarin orange","praline, guaiac wood, orange blossom","indonesian patchouli leaf, sandalwood, vetiver",FALSE
16401,FRGN-16401,rouge-avignon,phaedon,"raspberry, ylang-ylang","rose, truffle, cacao pod, hinoki wood","amber, sandalwood, vetiver, musk",FALSE
16402,FRGN-16402,18-orchid,perry-ellis,"dewberry, passionfruit, bergamot","amber, night blooming jasmine","tonka bean, vanilla, indonesian patchouli leaf",FALSE
16403,FRGN-16403,perle-rare-gold,panouge,"pink pepper, cactus flower","vanilla, hedione, ylang-ylang","suede, musk, incense, amber",FALSE
16404,FRGN-16404,midnight-amber,oscar-de-la-renta,"wild strawberry, nutmeg, madagascar vanilla","turkish rose, jasmine, tuberose","agarwood (oud), amber, indonesian patchouli leaf",FALSE
16405,FRGN-16405,miss-girl,oakcha,"black cherry, saffron, bitter almond","jasmine sambac, turkish rose, tobacco, tonka bean","vanilla, moss, amber, sandalwood, caramel",FALSE
16406,FRGN-16406,sole,moresque,"peach, black currant, apple, lemon, pink pepper","coconut, tuberose, ylang-ylang","amber, musk, patchouli",FALSE
16407,FRGN-16407,old-school-bench,min-new-york,"angelica, bergamot, lemon","beeswax, rum, geranium, woodsy notes, cacao","vetiver, patchouli, cedar, vanilla",FALSE
16408,FRGN-16408,une-histoire-de-femme-sensuelle,mauboussin,praline,"rose, freesia",white musk,FALSE
16409,FRGN-16409,hello-brilliant,mary-kay,"mango, mandarin orange, pomelo","magnolia, apple blossom, red currant","musk, sweet almond, vanilla",FALSE
16410,FRGN-16410,illuminea,mary-kay,"pink pepper, dew drop, mandarin orange","honeysuckle, red peony","vanilla, cashmere wood, oakmoss",FALSE
16411,FRGN-16411,marcus-schenkenberg-eau-de-parfum,lr,"bergamot, citruses","virginia cedar, sichuan pepper, guaiac wood","amber, cacao, vetiver",FALSE
16412,FRGN-16412,sarah-connor,lr,"amalfi lemon, orange","jasmine, rose",musk,FALSE
16413,FRGN-16413,si-fleuri,lomani,"tuberose, jasmine, rose","ylang-ylang, lily-of-the-valley, pepper","sandalwood, musk, heliotrope, patchouli",FALSE
16414,FRGN-16414,lily,lili-bermuda,"mint, clementine, tamarind","arum lily, lily-of-the-valley, pear, guava",musk,FALSE
16415,FRGN-16415,apples-of-youth-molodil-nye-abloki,ladanika,"apple, green notes, petitgrain","apple blossom, lilac, jasmine, rose de mai",white musk,FALSE
16416,FRGN-16416,cuero-mujer,la-martina,"white peach, green notes, pink pepper, bergamot, lime","vetiver, sandalwood, rose, jasmine sambac, lily-of-the-valley","white musk, tobacco leaf, amber",FALSE
16417,FRGN-16417,intensity,kenneth-cole,"cardamom, pink pepper, leather","tobacco leaf, saffron, nutmeg","tonka bean, coffee, woody notes",FALSE
16418,FRGN-16418,kajal-homme-ii,kajal,"mandarin orange, bergamot, amber, lemon, green notes, orange blossom","peach, cinnamon, lavender, cedar, rosemary, clary sage, cloves","woody notes, sweet notes, sandalwood, oakmoss, patchouli, musk",FALSE
16419,FRGN-16419,la-liturgie-des-heures,jovoy-paris,"cypress, green notes","incense, olibanum, myrhh, french labdanum",musk,FALSE
16420,FRGN-16420,pavillon-rouge,jovoy-paris,"whiskey, rum, spices, sesame","tobacco, leather, coffee, tea","ebony, vanilla, benzoin",FALSE
16421,FRGN-16421,nightflight,joop,"pineapple, lavender, lemon, bergamot, green notes, juniper, lime","jasmine, lily-of-the-valley, brazilian rosewood, geranium, rose, woodruff or galium odoratum","almond, tonka bean, musk, sandalwood, amber",FALSE
16422,FRGN-16422,joop-homme-summer-ticket,joop,"red apple, grapefruit, bergamot","orange blossom, heliotrope, jasmine","vanilla, tonka bean, amber, vetiver",FALSE
16423,FRGN-16423,gio-antonelli,jequiti,"nectarine, raspberry, apricot","leather, almond, leatherwood","suede, musk, cashmirwood, sandalowood, amber",FALSE
16424,FRGN-16424,iris-de-nuit,james-heeley,"angelica, ambrette (musk mallow)","iris, violet, carrot seeds","virginia cedar, amber",FALSE
16425,FRGN-16425,quai-des-lices,il-profvmo,citruses,"pine needles, eucalyptus, mimosa","tobacco, patchouli",FALSE
16426,FRGN-16426,vanille-bourbon,il-profvmo,cedar needles,"orchid, heliotrope, tiare flower",palisander rosewood,FALSE
16427,FRGN-16427,halston-man,halston,"artemisia, passionfruit, citruses","cardamom, lavender, mint","french labdanum, patchouli, musk",FALSE
16428,FRGN-16428,halloween-man,halloween,"martini, violet leaf, mandarin orange, basil","cinnamon, lavender, ginger flower, orange blossom","vanilla, amber, leather, musk",FALSE
16429,FRGN-16429,mezzanotte,galimard,"apple, lavender, bergamot","watermelon, cedar, reed","amber, patchouli, sandalwood",FALSE
16430,FRGN-16430,si-tu-savais,galimard,"amalfi lemon, mandarin orange, granny smith apple, tangerine, hyacinth","jasmine, rose","musk, virginia cedar, amber",FALSE
16431,FRGN-16431,hornero,fueguia-1833,vetiver,opoponax,tangerine,FALSE
16432,FRGN-16432,alguien-suena,fueguia-1833,black currant,ylang-ylang,patchouli,FALSE
16433,FRGN-16433,if-by-r-k,frapin,"ginger, black pepper, bergamot","fig, cashmeran, cinnamon","sandalwood, guaiac wood, tonka bean, patchouli",FALSE
16434,FRGN-16434,passion-boisee,frapin,"tangerine, rum, nutmeg, clove","oak, oakmoss","cedar, leather, patchouli",FALSE
16435,FRGN-16435,etoile,fragonard,"bergamot, red apple, ginger","jasmine, lily-of-the-valley, gardenia","virginia cedar, musk, amber",FALSE
16436,FRGN-16436,patchouli,fragonard,"bitter orange, petitgrain paraguay, ginger","patchouli, rose, caraway","tonka bean, musk, cedar",FALSE
16437,FRGN-16437,ambre-intense,evody-parfums,bay leaf,"sandalwood, incense, patchouli","amber, opoponax",FALSE
16438,FRGN-16438,lyra,eudora,"strawberry syrup, blueberry, cherry, kiwi, apricot, osmanthus","jasmine, iris flower, violet, lily-of-the-valley, osmanthus","musk, tonka bean, maltol, amber, sandalwood, cedar, accord eudora®, moss",FALSE
16439,FRGN-16439,desejo-por-coco-e-baunilha,eudora,"coconut, peach",caramel,vanilla,FALSE
16440,FRGN-16440,imensi-alive,eudora,"apricot, syrup, black pepper, raspberry, peach, apple, mandarin orange","cloves, ylang-ylang, orchid, rose, gardenia, jasmine, orange blossom","sandalwood, vanilla, benzoin, crystal amber, cashmeran, cedar, musk, patchouli",FALSE
16441,FRGN-16441,kiss-me-cabernet,eudora,"plum, raspberry, mandarin orange","jasmine, mimosa, pomarose","vanilla, whipped cream, milk",FALSE
16442,FRGN-16442,velvet-authentic,eudora,mandarin orange,magnolia,"praline, patchouli",FALSE
16443,FRGN-16443,etra-etro,etro,"cardamom, brazilian rosewood, coriander","paprika, sandalwood, geranium, cedar, rose, jasmine","vanilla, musk",FALSE
16444,FRGN-16444,via-verri-vintage-limited-edition,etro,"bergamot, jasmine, white pepper","cardamom, rose, iris","musk, cypress, amber",FALSE
16445,FRGN-16445,z-zegna,ermenegildo-zegna,"sicilian bergamot, rosemary","white pepper, nutmeg, iris","oakmoss, musk, cashmere wood, patchouli",FALSE
16446,FRGN-16446,zegna-colognia,ermenegildo-zegna,"bergamot, neroli, cardamom","iris, violet, galbanum","musk, virginia cedar, benzoin",FALSE
16447,FRGN-16447,gocce-di-resina,erbario-toscano,"palisander rosewood, cloves, pomegranate, raspberry","opoponax, plum, incense","patchouli, white musk",FALSE
16448,FRGN-16448,forever-elizabeth,elizabeth-taylor,"apple, green notes, blackberry, italian mandarin","tiare flower, egyptian jasmine, rose, violet, orchid","woody notes, sandalwood, white musk, cloves, amber",FALSE
16449,FRGN-16449,vixere,electimuss,"orange blossom, mandarin orange, bergamot, grapefruit, ylang-ylang","iris, violet, gardenia, jasmine, heliotrope","musk, vanilla, tonka bean, sandalwood, amber, patchouli",FALSE
16450,FRGN-16450,alizee,detaille,"violet, amalfi lemon, bergamot","narcissus, ylang-ylang, african orange flower, jasmine","sandalwood, benzoin, vanille, patchouli",FALSE
16451,FRGN-16451,1872-orris,clive-christian,"grapefruit, bergamot, mandarin orange, petitgrain","iris, magnolia, rose, plum, jasmine, cherry blossom","orris, vetiver, sandalwood, amber, tonka bean, musk, incense",FALSE
16452,FRGN-16452,la-selection-lady-caron,caron,"magnolia, jasmine, orange blossom","tuberose, peach, rose, raspberry","oakmoss, sandalwood",FALSE
16453,FRGN-16453,oro-nero,bois-1920,"saffron, cloves, orange, bergamot","patchouli, sandalwood, cedar, ylang-ylang","leather, vanilla, amber",FALSE
16454,FRGN-16454,eau-d-energie,biotherm,"orange, mandarin orange, lemon","apricot, jasmine, cyclamen","cedar, musk",FALSE
16455,FRGN-16455,supremacy-in-heaven,afnan,"bergamot, mandarin orange","green tea, black currant","musk, sandalwood, woodsy notes",FALSE
16456,FRGN-16456,amber-oud,al-haramain-perfumes,"rosemary, bergamot, cedar, lemon","spices, cedar, guaiac wood","resins, amber, musk",FALSE
16457,FRGN-16457,le-femme,armaf,"plum, orange, gardenia, bergamot","jasmine, saffron, lily-of-the-valley, rose","vanilla, woody notes, patchouli, white musk",FALSE
16458,FRGN-16458,aura-fresh,armaf,"carambola (star fruit), lemon, bergamot, cardamom","sage, pepper","woody notes, musk, cedar, amber, saffron",FALSE
16459,FRGN-16459,herve-leger-homme,avon,"ginger, yuzu",woodsy notes,amber,FALSE
16460,FRGN-16460,azzaro-chrome-aqua,azzaro,"grapefruit, green apple, violet leaf","sea notes, basil, mint","cypress, vetiver",FALSE
16461,FRGN-16461,pure-lavender,azzaro,"lavender, iris, star anise, carnation, cloves, juniper","lavender, orris root","vanilla, tonka bean, white musk, amber",FALSE
16462,FRGN-16462,freshwater-cucumber,bath-body-works,"cucumber, frosted melon","lily-of-the-valley, floral notes","sandalwood, musk",FALSE
16463,FRGN-16463,juniper-breeze,bath-body-works,"juniper, mountain air, aldehydes, green apple, pineapple","ylang-ylang, jasmine","musk, precious woods",FALSE
16464,FRGN-16464,pink-grapefruit,bath-body-works,"pink grapefruit, orange","clementine, kumquat, jasmine","white musk, woodsy notes",FALSE
16465,FRGN-16465,madison-avenue,bond-no-9,"apple, blackberry, bergamot","rose, magnolia, jasmine","patchouli, praline, ambroxan",FALSE
16466,FRGN-16466,queens,bond-no-9,"blackberry, cardamom, bergamot","tuberose, champaca, osmanthus","musk, sandalwood, benzoin, amber",FALSE
16467,FRGN-16467,fantasy-intimate-edition,britney-spears,"litchi, italian lemon, violet leaf","brown sugar, ozonic notes, genet, jasmine, lily-of-the-valley","vanilla, white musk, heliotrope, benzoin",FALSE
16468,FRGN-16468,private-show,britney-spears,"whipped cream, coffee, nectarine, clementine","dulce de leche, jasmine sambac, orange blossom","amber, musk",FALSE
16469,FRGN-16469,vip-private-show,britney-spears,"mango, red apple, blood orange","violet, orange blossom, magnolia","raspberry, amber, musk, woody notes",FALSE
16470,FRGN-16470,burberry-summer-for-men-2011,burberry,"yuzu, mandarin orange","juniper berries, mint, thyme","sandalwood, musk, virginia cedar, amber",FALSE
16471,FRGN-16471,aqva-pour-homme-marine,bvlgari,"grapefruit, neroli, mandarin orange, petitgrain","water notes, seaweed, rosemary","virginia cedar, amber",FALSE
16472,FRGN-16472,erea,bvlgari,cardamom,olibanum,madagascar vanilla,FALSE
16473,FRGN-16473,cruel-intentions,by-kilian,"rose, violet, bergamot, african orange flower","agarwood (oud), guaiac wood, papyrus","vetiver, sandalwood, vanille, castoreum, styrax, musk",FALSE
16474,FRGN-16474,lemon-in-zest,by-kilian,"italian lemon, mandarin orange","brandy, vanilla","haitian vetiver, indonesian patchouli leaf",FALSE
16475,FRGN-16475,straight-to-heaven,by-kilian,"rum, dried fruits","patchouli, nutmeg, jasmine","virginia cedar, musk, amber, vanilla",FALSE
16476,FRGN-16476,la-tulipe,byredo,"freesia, cyclamen, rhuburb",pink tulip,"green notes, vetyver, woodsy notes",FALSE
16477,FRGN-16477,ck-in2u-heat-for-her,calvin-klein,blood orange,"frangipani, ginger, orchid","sandalwood, musk, cedar",FALSE
16478,FRGN-16478,ck-one-platinum-edition,calvin-klein,"aldehydes, granny smith apple, cardamom","lavender, cinnamon, pink pepper","vetiver, cashmere wood, amber",FALSE
16479,FRGN-16479,ck-one-summer-2013,calvin-klein,"water notes, citruses","cucumber, watermelon, water lily","musk, moss",FALSE
16480,FRGN-16480,eternity-summer-2011,calvin-klein,"lily-of-the-valley, violet, coriander","gardenia, lotus, jasmine","mimosa, fig tree, musk",FALSE
16481,FRGN-16481,212-men-splash,carolina-herrera,"mint, bergamot","nutmeg, cardamom, ginger, gardenia","musk, sandalwood, incense",FALSE
16482,FRGN-16482,allure,chanel,"lemon, mandarin orange, peach, passionfruit, bergamot","honeysuckle, jasmine, magnolia, freesia, water lily, orange blossom, peony, may rose","vanilla, sandalwood, amber, vetiver, patchouli",FALSE
16483,FRGN-16483,paris-riviera,chanel,"citruses, flowers, orange peel","neroli, jasmine","benzoin, sandalwood",FALSE
