ID_Perfume,perfume,brand,is_lokal,Notes
HRMN-0063,GRATITUDE,ONIX,True,"green, fruity, ozone, white floral, caramel, lactone, violet, amber, musk, vanilla, sandalwood, cedarwood"
HRMN-0064,MEXICOLA,ONIX,True,"raspberry, apple, pineapple, jasmine, muguet, cyclamen, freesia, sandalwood, coconut, musk, tonka, vanilla, caramel"
HRMN-0065,CONCERT,ONIX,True,"bergamot, pink pepper, & & mandarin, frankincense & jasmine, sandalwood, musk, patchoulli, & vanilla"
HRMN-0066,Rose d'amour,LAYR,True,"lychee, bergamot, incense, pear, heirloom tomato, bulgarian rose, grapefruit, peony, lily of the valley, vanilla bali, vetiver, musk, cashmere wood"
HRMN-0067,BEFORE PETRICHOR,LAYR,True,"basil, spearmint, neroli, lemon, petitgrain, mandarin, watermelon, cyclamen, white floral, orange flower, rose, cedarleaf, olibanum, vetiver, musk, olibanum, moss"
HRMN-0068,CHRONIC TONIC,LAYR,True,"chronic cinnamon, grapefruit, raspberry, cypress, thyme, rosemary., lactone, iris, muguet, rose, saffron, violet, floral, mandarin orange., musk, moss, vanilla amber, patchouli, vetwer, leather, sandalwood, leather, olibanum."
HRMN-0069,Empty Room,LAYR,True,"paper, cotton, lemon, pink peppercorn, fig leaves, rose, orange flower, dried flower base dust, musk, incense, sandalwood, "
HRMN-0070,FORBIDDEN GARDEN,LAYR,True,"green apple, rose, blackberry, geranium, violet, jasmine sambac, ylang ylang, orris, raspberry, red apple, musk, patchouli, sandalwood, vanilla, vetiver"
HRMN-0071,GET NAKED,LAYR,True,"tobacco, green pear, violet, orange, petitgrain, galbanum, pine., magnolia, sandalwood, rose, pineapple, lavender, geranium, freesia., amber, cedar, musk, patchouli, leather, moss, tonka."
HRMN-0072,KYOTO JAZZ,LAYR,True,"matcha, green, yuzu, pear, bergamot, cocoa, cardamom, lavandin, ozone., ylang ylang, violet, beeswax, orange blossom, lily of the valley, cassis, pineapple., musk, sandalwood, amber, iris, cashmere, vanilla, patchouli, moss, labdanum."
HRMN-0073,High Tide Low Tide,LAYR,True,"lemon, orange flower, tangerine, bergamot, rosemary, driftwood, coastal trees, earthy sand, musk, cedarwood, wild patchouli"
HRMN-0074,MIDNIGHT HAZE,LAYR,True,"pink pepper, cardamon, lavender, tuberose, tulip, grass., oud, jasmine, cedarwood, lily of the valley, ylang ylang, orange flower., amber, vanilla, musk, sandalwood, tonka bean, vetiver."
HRMN-0075,SECOND SKIN,LAYR,True,"blackpepper, bergamot, clary sage, mandarin, green, tagete, rose, orange flower, violet, lily of the valley, jasmine, fruity, patchouli, amber, musk, cedar, lactone, labdanum, vanilla"
HRMN-0076,SLOW DANCE,LAYR,True,"plum, black pepper, bergamot, cassis, green apple, green tea, thyme, rose turkish, magnolia, jasmine sambac, iris, freesia, clove, fruity, clary sage, nutmeg, amber, vanilla, vetiver, patchouli, caramel, musk"
HRMN-0077,VELVET DREAM,LAYR,True,"black cherry, cypress, elem, citrus, labdanum, orange, almond., patchouli, olibanum, guaiacwood, strawberry, blackcurrant, whiskey bourbon., cedar, vetwer, musk, sandalwood, amber, vanilla, raspberry, peach, heliotrope."
HRMN-0078,VILA ENIGMA,LAYR,True,"mint, sunscreen, coconut milk, honeysuckle, pear blossom, figolide, tuberose, jasmine sambac, gardenia, ambrette, bourbon vanilla, sandalwood, musk, patchouli, ambergris"
HRMN-0079,Heiress of Minahasa,Project 1945,True,"bergamot, mandarin, pepper, rhubarb, rose, incense, patchouli, cashmere wood, vetiver, sandalwood, benzoin, musky"
HRMN-0080,Symphony of Borobudur,Project 1945,True,"fig, mandarin, tuberose, violet, incense, sandalwood, milk, vanilla, tonka, benzoin, musky"
HRMN-0081,Bamboe Roencing,Project 1945,True,"bergamot, marine, green leaves, freesia, waterlily, osmanthus, white jasmine, rose, musk, precious woods, dry fruits"
HRMN-0082,The Great Batavia,Project 1945,True,"apple, lemon, watermelon, spearmint, lavender, clove indonesia, geranium, elemi, patchouli indonesia, vanilla, tonka bean, moss"
HRMN-0083,Horas,Project 1945,True,"rum, chocolate, coffee, caramel, almond, heliotrope, vetiver, sandalwood"
