perfume,brand,top notes,mid notes,base notes
Nise,Thera Cosmeticos,"Apricot, Plum, Green Leaves, Bergamot","White Lily, Cedar, Sandalwood, Peony","Caramel, Vanilla, Vetiver, Musk"
Just Before,The House of Oud,"Saffron, Lemon, Bergamot","Palo Santo, Ylang-ylang, Myrrh","Vanilla, Sandalwood, Benzoin, Amber"
Bois D Iris,The Different Company,"Iris, Bergamot","Geranium, Coriander, Narcissus","Vetiver, Cedar, White Musk"
Black Soul Imperial,Ted Lapidus,"Coffee, Citruses","Spices, Mint","Leather, Amber, Woodsy Notes"
Verde Accento,Sospiro Perfumes,"Bergamot, Mandarin Orange","Jasmine, Pink Pepper, Iris","Sandalwood, Vanilla, Amber"
Above All,Sapientiae Niche,"Bergamot, Pink Pepper",Cedar,"Ambergris, Laotian Oud, Tonka Bean"
Bizzarria,Santa Maria Novella,"Bitter Orange, Neroli, Timur","Orange Blossom, Davana, Ginger","Musk, Cedarwood"
Guimauve,Reminiscence,"Almond, Lavender, Mint, Rosemary, Tangerine, Orange, Green Notes, Bergamot, Sea Notes","Neroli, Petitgrain, Jasmine, Black Pepper","Vanilla, Tonka Bean, Musk, Sandalwood, Ambergris, Patchouli, Cedar"
Le Vainqueur,Rance 1795,"Watermelon, Grapefruit, Ginger, Melon, Bergamot, Mandarin Orange","Lavender, Geranium, Nutmeg, Jasmine, Lily-of-the-valley","Vetiver, Leather, Iris, Musk, Sandalwood, Amber"
Perry Ellis Cobalt,Perry Ellis,"Bergamot, Ginger, Mandarin Orange","Fig, Rosemary, Clary Sage","Sandalwood, Woody Notes, Rum, Cashmeran, Musk, White Amber"
Eau De Gloire,Parfum D Empire,"Lavender, Bergamot, Rosemary, Myrtle, Amalfi Lemon, Tangerine, Neroli","Star Anise, Immortelle, Tea, Licorice","Leather, Tobacco, Oakmoss, Olibanum, French Labdanum"
Patchouli Figue,Panouge,"Fig Leaf, Rhubarb, Pear","Fig Nectar, Jasmine","Patchouli, Cacao, Amber, Cedar"
Dragon Blood Cuir Vermillion,Nimere Parfums,"Dragon Blood Resin, Black Pepper, Cardamom","Cherry, Coriander, Rose","Oak, Leather, Ginger, Vetiver"
Rosa Ekaterina,Moresque,"Elemi, Pink Pepper",May Rose,"White Musk, Sandalwood, Cinnamon, Vanilla, Cumin, Spices"
Cologne Du Mate,Mizensir,"Mandarin Orange, Paradisone","Mate, Sage","Solar Notes, Musk, Woody Notes"
Sexual Fleur,Michel Germain,"Walnut, Daisy, Pink Grapefruit","Plum, Frangipani, Pink Freesia, Egyptian Jasmine","Caramel, Woody Notes, Musk"
Humanitas,Memoize London,"Peach, Passionfruit, Orange","Lily, Magnolia, Iris, Rose, Heliotrope","Icing Pink, Musk, Amber, Patchouli, Cashmere Wood, Sandalwood"
Star,Mauboussin,"Pineapple, Fig","Coconut Milk, Iris","Vanilla, Praline, Tonka Bean, White Amber, Virginian Cedar, Heliotrope"
Pivoine,Manos Gerakinis,Red Apple,"Peony, Rose, Jasmine, Carnation",Suede
L Epine,Mahogany,Bergamot,"Jasmine, Brazilian Rosewood, Gardenia, Ylang-ylang","Cedar, Patchouli, Sandalowood, Musk"
Bruce Willis Personal Edition,Lr,"Black Pepper, Citruses",Tobacco,"Leather, Agarwood (oud)"
Le Coupe,Lomani,"Mint, Citruses",Lavender,"Sandalwood, Musk"
Lomani Essential,Lomani,"Licorice, Fruity Notes, Lavender, Green Notes, Bergamot","Lilac, Lily-of-the-valley","Vanilla, Tonka Bean, Patchouli, Musk, Sandalwood, Woody Notes"
Passion Flower,Lili Bermuda,"Nectarine, Peach","Gardenia, Ylang-ylang, Violet, Mimosa, Tropical Fruit","Sandalwood, Musk, Vanille"
Tulipe,Le Galion,"Green Leaves, Galbanum, Acácia","Narcissus, Jasmine, Ylang-ylang","White Musk, White Cedar Extract, Orris"
Amore Di Fiore,La Rive,"Raspberry, Mandarin Orange","Melon, Rose","Vanilla, Sandalwood"
Donna,La Rive,"Lemon, Hyacinth","Apple Tree, Jasmine","Cedar, Musk"
Cuero,La Martina,"Bergamot, Lavender, Lemon","Patchouli, Styrax, Cedar","Leather, Vanilla, Coumarin"
All Olio Di Argan,L Erbolario,"Lemon, Bergamot","Jasmine, Lily-of-the-valley","Hazelnut, Vanilla, Amber, Musk"
Mandorla,L Erbolario,"Jasmine, Bergamot",Almond,"Vanilla, Siam Benzoin"
Royal Oud Intense,Korloff Paris,"Rose, Incense, Nutmeg","Agarwood (oud), Labdanum, Patchouli","Amber, Sandalwood, Vanilla, Musk"
Joop Homme Black King,Joop,"Orange Blossom, Black Pepper",Vetiver,Leather
Hello Kitty Estilosa,Jequiti,"Litchi, Grapefruit, Raspberry","Almond, Freesia, Plum","Caramel, Amber, Sandalowood"
Voyageur,Jean Patou,"Orange, Grapefruit","Sage, Lavender","Cedar, Oakmoss, Sandalwood"
Ambre D or,Il Profvmo,"Datura, Peach, Tangerine","Honey, Opium, Spices, Iris","Ambergris, Myrrh, Patchouli, Ambrette (musk Mallow), Palisander Rosewood"
Coeur Couronne,Herve Gambs Paris,"Rose, Neroli, Jasmine",Artemisia,"Caramel, Vanilla"
Sahara Rose,Habibi Ny,"Nectarine, Raspberry, Apple, Mandarin Orange, Pineapple Leaf, Lemon","Bulgarian Rose, Moroccan Rose, Geranium, Spicy Notes, Jasmine, Chamomile, Violet","Saffron, Agarwood (oud), Vanilla, Black Musk, Amber, Patchouli, Sandalwood"
Ocean Sun,Gabriela Sabatini,"Pear, Mango, Mandarin Orange","Lily-of-the-valley, Orchid, Violet","Musk, Woodsy Notes"
Otro Poema De Los Dones,Fueguia 1833,Woodsy Notes,Agarwood (oud),Cedar
Eclat,Fragonard,"Orange Blossom, Amalfi Lemon, Freesia, Bergamot, Saffron","Frangipani, Gardenia","Marshmallow, Amber"
Prelude S,Eudora,"Honeycomb, Beeswax, Brown Sugar","Honey, Milk","Musk, White Woods, Almond, Licorice"
Anice,Etro,"Star Anise, Bergamot, Brazilian Rosewood","Caraway, Fennel, Iris, Jasmine","Vanilla, Musk, Amber"
Roman Wood,Ermenegildo Zegna,"Cypress, Bergamot, Sage, Rosemary","Pine, Moss, Cedar","Pine, Vanilla, Amber"
English Rose,English Laundry,"Red Litchi, Kiwi, Quince","White Chocolate, Jasmine","Precious Woods, Orris Root, Musk"
Diva,Emanuel Ungaro,"Aldehydes, Indian Tuberose, Coriander, Cardamom, Bergamot, Mandarin Orange","Turkish Rose, Moroccan Rose, Carnation, Ylang-ylang, Narcissus, Orris Root, Egyptian Jasmine","Honey, Oakmoss, Civet, Sandalwood, Patchouli, Iris, Amber, Musk, Vetiver, Vanilla"
Yujin Floa,Ella Mikao,"Peach, Pineapple, Strawberry, Mandarin Orange","Plum, Water Lily, Rose","Musk, Amber"
Un Air D Arabie Amber,Dorin,"Pine, Virginia Cedar, Geranium","Incense, Benzoin, French Labdanum, Patchouli","Amber, Vanille, Musk"
Divine,Divine,"Tuberose, Peach, Coriander","Gardenia, Jasmine, Rose, Spicy Notes, Orange Blossom, Patchouli","Oakmoss, Musk, Sandalwood, Vanilla"
Aeroplane,Detaille,"Amalfi Lemon, Bergamot, Petitgrain","Basil, Mint","Oak Moss, Patchouli"
Mate Heliotrope Patchouli,Dame Perfumery,"Mate, Lime Peel, Aldehydes","Heliotrope, Tiare Flower, Iris, Rose","Patchouli, Amber"
Iris,Crabtree Evelyn,"Cassis, Bergamot","Iris, Orris Root","Patchouli, Musk, Vetyver, Virginia Cedar, Sandalwood"
1872 for Women,Clive Christian,"Bergamot, Amalfi Lemon, Rosemary, Tangerine, Pineapple, Blueberry","Lily-of-the-valley, Violet, Freesia, Osmanthus, Rose, Jasmine, Orchid","Oakmoss, Virginia Cedar, Musk, Sandalwood, Guaiac Wood, Patchouli"
No 1,Clive Christian,"Apricot, Peach, Cardamom, Plum, Pineapple, Bergamot, Paprika, Amalfi Lemon","Ylang-ylang, Iris, Jasmine, Carnation, Rose, Orchid","Sandalwood, Vanilla, Benzoin, Tonka Bean, Musk, Amber, Virginia Cedar"
Fleurs De Rocaille,Caron,"Aldehydes, Tincture of Rose, Lilac, Jasmine","Carnation, Ylang-ylang, Lily-of-the-valley, Violet","Oak Moss, Sandalwood, Musk, Virginia Cedar"
French Cancan,Caron,"Jasmine, Lilac, Violet","Rose, African Orange Flower, Iris, Lily-of-the-valley, Patchouli","Oak Moss, Sandalwood, Amber, Orris Root"
Infini 1970,Caron,"Aldehydes, Narcissus, Jasmine, Lily-of-the-valley","Iris, Lilac, Rose, Tuberose","Vetyver, Musk, Sandalwood, Tonka Bean, Amber"
Montaigne,Caron,"Mimosa, Bitter Orange, Coriander, Jasmine, Tangerine","Narcissus, Black Currant","Amber, Sandalwood, Vanille, Ambrette (musk Mallow)"
Tubereuse,Caron,"Tuberose, Narcissus, Citruses","Tuberose, Peach, Jasmine, Apricot, Freesia",Vanilla
Farnesiana,Caron,"Mimosa, Bergamot","Iris, Lily-of-the-valley","Ylang-ylang, Vanilla"
Sutra Ylang,Bois 1920,"Bay Leaf, Cardamom, Lemon, Bergamot","Carnation, Lily, Rose, Jasmine, Violet","Amber, Sandalwood, Oakmoss, Cedar, Benzoin"
Sugar Peach,Body Fantasies,"Peach, Pear, Raspberry, Honeysuckle","Mango, Jasmine, Orange Blossom","Sugar Cane, Musk, Coconut"
Eau De Paradis,Biotherm,"Red Berries, Raspberry, Amalfi Lemon, Pomegranate, Black Currant, Blueberry","Freesia, Rose","Virginia Cedar, Musk, Sandalwood"
Eau Pure,Biotherm,"Lime, Grapefruit, Kiwi, Lemon, Rhubarb","Green Tea, Lotus","Musk, Patchouli, Oakmoss"
Neroli Blanc L Eau De Cologne,Au Pays De La Fleur D Oranger,"Orange Blossom, Grapefruit, Bergamot","Tea, Jasmine, Rose","Woody Notes, Musk, Sweet Notes"
Jasmin Reve,Au Pays De La Fleur D Oranger,Jasmine,Rose,"Sandalwood, Vanilla, Musk"
Pacha Ibiza Sexy,Pacha Ibiza,"Mandarin Orange, Black Currant","Orange Blossom, Freesia","Caramel, Patchouli, Musk"
Al Andalus,Moresque,"Ginger, Black Pepper, Saffron",Agarwood (oud),"Tolu Balsam, Birch, French Labdanum, Vetiver"
Lubna,Al Rehab,"Floral Notes, Citruses","White Flowers, Agarwood (oud)","Amber, Herbal Notes, Cedar"
Sweet Like Candy,Ariana Grande,"Blackberry, Pear, Bergamot","Whipped Cream, Marshmallow, Black Currant, Frangipani, Jasmine, Honeysuckle","Vanilla, Cashmere Wood"
El Cielo Pour Homme,Armaf,"Melon, Apple, Bergamot, Lemon","Lavender, Violet, Cypress","Vanilla, Amber, Musk, Cedar"
Edition One,Armaf,"Neroli, Jasmine, Bitter Orange, Raspberry","Jasmine, Gardenia, Tuberose, Rose","Honey, Amber, Patchouli"
Patrick Dempsey 2,Avon,"Mandarin Orange, Saffron, Fig Leaf","Nutmeg, Incense, Walnut, Labdanum","Guaiac Wood, Leather, Patchouli, Musk"
Chrome Pure,Azzaro,"Mandarin Orange, Bergamot","Watery Notes, Orange Blossom, Akigalawood","Tonka Bean, Mate, White Musk, Cedar"
Azzaro Pour Homme L Eau,Azzaro,"Yuzu, Amalfi Lemon, Grapefruit","Lavender, Geranium","Sandalwood, Vetiver, Patchouli, Musk"
Solarissimo Favignana,Azzaro,"Lemon, Sugar, Sage","Rum, Ginger, Vanilla","Amber, White Tobacco, Chinese Cedar"
Tabac Rose,Bdk Parfums,"Plum, Pink Pepper, Italian Lemon","Turkish Rose, Chocolate, Cinnamon","Tobacco, Indonesian Patchouli Leaf, Spanish Labdanum"
Be Enchanted,Bath Body Works,"Pomegranate, Red Berries, Citruses, Passionfruit","Blackberry, Floral Notes, Pear, Violet, Honeysuckle","Vanille, Musk, Sandalwood"
Enchanted Orchid,Bath Body Works,"Water Lily, Apple, Pink Grapefruit","Orchid, Violet, Iris, Gardenia","Vanilla Orchid, Musk, Heliotrope, Amber"
Warm Vanilla Sugar,Bath Body Works,"Vanilla, Floral Notes","Vanilla, Rice, Coconut","Vanilla, Sandalwood, Musk, Heliotrope"
Hello Beautiful,Bath Body Works,"Nectarine, Italian Mandarin, Pomelo","Pink Peony, Gardenia, Night Blooming Jasmine, Magnolia","Cotton Flower, Musk, White Amber, Driftwood"
Dubai Jade,Bond No 9,"Violet Leaf, Raspberry, Cumin","Rose, Jasmine, Lily, Cedar","Musk, Agarwood (oud), Birch, Amber, Ambrette (musk Mallow)"
Glitter Fantasy,Britney Spears,"Red Fruits, Plum","Heliotrope, Lotus, Violet","Musk, Benzoin, Agarwood (oud)"
Burberry Body Rose Gold,Burberry,"Wormwood, Peach, Freesia","Rose, Sandalwood, Iris","Cashmirwood, Musk, Vanilla, Amber"
Society,Burberry,"Osmanthus, Tuberose, African Orange Flower, Hyacinth, Green Notes, Bergamot","Gardenia, Ylang-ylang, Orchid, Mimosa, Rose, Iris, Jasmine, Lily-of-the-valley","Oak Moss, Vanille, Musk, Incense, Myrhh, Amber, Patchouli, Virginia Cedar"
Love the Way You Taste,By Kilian,"Mint, Lemon","Magnolia, Green Leaves",Vetiver
Ck One Shock for Him,Calvin Klein,"Lavender, Clementine, Cucumber","Cardamom, Pepper, Basil, Osmanthus","Tobacco, Amber, Patchouli, Woodsy Notes, Musk"
Ck One Summer 2006,Calvin Klein,"Melon, Mandarin Leaf","Lemon, Lemon Verbena, Freesia, Rhubarb","Peach, Incense, Musk, Cedar"
Ck One Summer 2011,Calvin Klein,"Citruses, Tangerine, Melon, Fern","Sea Water, Amalfi Lemon, Rhuburb, Lemon Verbena, Freesia","Peach, Virginia Cedar, Musk, Incense"
Ck One Summer 2014,Calvin Klein,"Lime, Grapefruit, Melon","Tequila, Cypress, Freesia","Coconut Milk, Sugar, Cedar"
Euphoria Men Intense,Calvin Klein,"Ginger, Pepper","Black Basil, Cedar, Sage, Vetiver","Amber, Agarwood (oud), Patchouli, Myrrh, Labdanum"
Bad Boy Dazzling Garden,Carolina Herrera,"White Pepper, Grapefruit","Clary Sage, Vetiver","Cacao, Tonka Bean"
Paris Biarritz,Chanel,"Tangerine, Bergamot, Lemon, Orange, Grapefruit","Neroli, Green Notes, Lily-of-the-valley","White Musk, Patchouli"
Misia Eau De Parfum,Chanel,"Aldehydes, Litchi","Raspberry, Turkish Rose, Grasse Rose, Peach","Violet, Powdery Notes, Orris Root, Leather, Vanilla, Tonka Bean, Benzoin"
Nomade Naturelle Eau De Parfum,Chloe,"Dates, Mirabelle","Egyptian Jasmine, Freesia","Vanilla, Sandalwood, Oakmoss"
Poppy Wild Flower,Coach,"Pink Pepper, Freesia, Mandarin Orange, Bergamot","Jasmine Sambac, Peach, Lily-of-the-valley","Vanilla, Cedar, Patchouli, Violet, Iris"
Comme Des Garcons Series 6 Synthetic Skai,Comme Des Garcons,"Graperfuit, Cardamon","Peat, Labdanum","Suede, Sandalwood"
Gold,Commodity,"Camphor, Juniper Berries, Bergamot","Amber, Benzoin, Haitian Vetiver","Vanilla, Tonka Bean, Sandalwood, Musk"
Original Santal,Creed,"Juniper Berries, Coriander, Ginger, Rosemary, Bergamot, Mandarin Orange","Sandalwood, Lavender, Orange Blossom, Geranium","Tonka Bean, Musk, Cedar, Oakmoss"
St Vetyver,Ds Durga,"Seagrass, Bitter Orange, Pink Pepper","Hat Straw, Reed, Clove Leaf","Vetiver, Rhum Agricole, Breadnut"
Cruise Collection Escale a Portofino,Dior,"Bergamot, Lemon, Petitgrain","Orange Blossom, Juniper Berries, Almond","Cypress, Cedar, Musk, Galbanum, Caraway"
Fahrenheit 32,Dior,Orange Blossom,Vetiver,Vanilla
J Adore L Absolu,Dior,Ylang-ylang,"Jasmine, Tuberose, Rose","Fruity Notes, Musk, Woodsy Notes"
Tam Dao Eau De Toilette,Diptyque,"Italian Cypress, Myrtle, Rose","Sandalwood, Cedar","Brazilian Rosewood, Spices, Amber, White Musk"
Light Blue Italian Zest,Dolce Gabbana,"Lemon, Green Apple, Bergamot, Lemon Verbena, Bellflower","Bamboo, Jasmine, Rose","Cedar, Musk, Iso E Super, Sandalwood, Vanilla, Amber"
Radiant Mirage,Estee Lauder,Jasmine Sambac,Sandalwood,Patchouli
Noel Au Balcon,Etat Libre D Orange,"Honey, Apricot, Mandarin Orange","Cinnamon, Orange Blossom, Chili Pepper","Vanilla, Caraway, Black Clover, Labdanum, Patchouli, Musk"
Cologne Indelebile,Frederic Malle,"Bergamot, Lemon","Neroli, Orange Blossom, Narcissus",Musk
Acqua Di Gio Eau De Parfum,Giorgio Armani,"Sea Notes, Green Mandarin","Clary Sage, Lavender, Geranium","Mineral Notes, Vetiver, Patchouli"
Ocean Di Gioia,Giorgio Armani,"Pear, Green Notes, Citruses","Water Jasmine, Salt, Lily-of-the-valley, Rose","Musk, Sandalwood"
Armani Code Sport,Giorgio Armani,"Mint, Mandarin Orange","Lemon, Ginger Flower","Vetiver, Water Notes, Amber"
Armani Code Summer Pour Femme,Giorgio Armani,"Water Notes, Bitter Orange, Neroli, Pear","African Orange Flower, Jasmine, Ginger, Cyclamen","Musk, Woodsy Notes, Vanilla"
Armani Code Summer Pour Femme 2010,Giorgio Armani,"Bitter Orange, Neroli, Pear","Ginger, Jasmine, Cyclamen, African Orange Flower","Musk, Vanille, Woodsy Notes"
Santal Dan Sha,Giorgio Armani,"Guatemalan Cardamom, Calabrian Bergamot, Violet Leaf","Elemi, Musk, Olibanum","Sandalwood, Virginia Cedar, Dreamwood"
Emporio Armani Diamonds for Men,Giorgio Armani,"Bergamot, Guaiac Wood","Sichuan Pepper, Cedar, Vetiver","Cacao, Amber"
Colonia Vaniglia,Acqua Di Parma,"Mandarin Orange, Bergamot","Vanilla, Jasmine Sambac",Musk
Sunshine Woman,Amouage,"Almond, Black Currant, Artemisia","Osmanthus, Vanilla, Magnolia, Jasmine","White Tobacco, Papyrus, Juniper, Patchouli"
Jardin D Interdit,Givenchy,"Kiwi, Cranberry, Pear","Rose Hip, Peach Blossom, Rose, Red Berries","Sandalwood, Orchid, Heliotrope"
Gentlemen Only Fraiche,Givenchy,"Lemon, Citruses","Mint, Sage","Ambroxan, Vetiver"
Very Irresistible Givenchy L Intense,Givenchy,Plum,Rose,"Patchouli, Musk"
Champs Elysees Eau De Parfum,Guerlain,"Melon, Almond, Peach, Violet, Black Currant, Anise","Lilac, Mimosa, Lily-of-the-valley, Peony, Almond Blossom, Rose, Hibiscus","Vanilla, Sandalwood, Almond Tree, Benzoin, Cedar"
Cherry Blossom 2023 Millesime,Guerlain,"Green Tea, Bergamot","Cherry Blossom, Lilac, Powdery Notes, Jasmine, Cherry, Almond",White Musk
La Petite Robe Noire Rose Rose Rose,Guerlain,"Almond, Sour Cherry, Wild Berries, Bergamot","Damask Rose, Bulgarian Rose, Grasse Rose","Iris, Vanilla, Tonka Bean, Anise"
Mon Guerlain,Guerlain,"Lavender, Bergamot","Iris, Jasmine Sambac, Rose","Tahitian Vanilla, Coumarin, Australian Sandalwood, Licorice, Benzoin, Patchouli"
Mon Guerlain Florale,Guerlain,"Lavender, Bergamot, Mandarin Orange, Lemon","Floral Notes, Peony, Jasmine Sambac, Ylang-ylang, Neroli, Peach, Lily-of-the-valley","Vanilla, Iris, Sandalwood"
Samsara Eau De Parfum,Guerlain,"Ylang-ylang, Peach, Bergamot, Green Notes, Lemon","Iris, Jasmine, Narcissus, Orris Root, Rose, Violet","Sandalwood, Vanilla, Iris, Amber, Tonka Bean, Musk"
Shalimar Parfum Initial,Guerlain,"Bergamot, Orange, Green Notes","Iris, Patchouli, Vetiver, Rose, Jasmine","Vanille, Caramel, Tonka Bean, Musk"
Shalimar Souffle De Parfum 2018,Guerlain,"Lemon, Bergamot, Mandarin Orange","Orange Blossom, Jasmine","Indian Vanilla, Tahitian Vanilla, Musk"
Eau Des Merveilles,Hermes,"Orange, Elemi Resin, Lemon","Amber, Pepper, Pink Pepper, Violet","Fir, Cedar, Madagascar Vetiver, Oakmoss, Benzoin"
Nuit D Issey Bleu Astral,Issey Miyake,"Lime, Coriander",Leather,"Amberwood, Woody Notes"
Jimmy Choo Man Intense,Jimmy Choo,"Melon, Lavender, Mandarin Orange","Geranium, Black Pepper, Artemisia","Tonka Bean, Patchouli, Labdanum"
Star Magnolia,Jo Malone London,"Lemon, Ginger, Shiso","Magnolia, Neroli","Amber, Cedar"
Vanilla Anise,Jo Malone London,"Star Anise, Fennel, Neroli, Bergamot","Frangipani, Orchid, Clove, Tuberose, Jasmine","Vanilla, Tonka Bean, Vetiver, Amber"
White Moss Snowdrop Cologne Limited Edition,Jo Malone London,"Petitgrain, Clementine","Snowdrops, Neroli","Moss, Amber, Tonka Bean"
Silver Needle Tea,Jo Malone London,"Bergamot, Saffron","Rose, Mimosa","Musk, Herbal Notes"
Moon Dance,Juliette Has a Gun,Bergamot,"Tuberose, Violet, Rose",Patchouli
Kate Spade New York,Kate Spade,"Wild Strawberry, Citruses, Bergamot","Rose, Freesia","Ambroxan, Cashmeran"
The Wedding Velvet Santal 35,Kayali Fragrances,"Tea, Jasmine","Cedarwood, White Musk","Sandalwood, Benzoin"
Hypnose Homme Eau Fraiche,Lancome,"Ginger, Bitter Orange, Mint",Lavender,"Patchouli, Oakmoss"
Masa,Lattafa Perfumes,"Mango, Saffron, Lemon, Pink Pepper","Violet Leaf, Ginger, Osmanthus, Orange Blossom","Mineral Notes, Suede, Patchouli, Amber"
Thouq,Lattafa Perfumes,"Litchi, Bergamot","Rose, Incense","Amber, Vetiver"
Liquide,Les Liquides Imaginaires,"Saffron, Mandarin Orange","Orange Blossom, Solar Notes, Carrot Seeds, Coriander, Jasmine","Ambroxan, White Musk, Vanilla, Labdanum, Woody Notes, Patchouli"
Aire Fantasia,Loewe,"Lemon, Grapefruit, Tangerine, Orange","Neroli, Lily-of-the-valley, Magnolia, Almond Blossom, Jasmine","Musk, Vetiver, Sandalwood, Siam Benzoin"
Solo Loewe Ella,Loewe,"Apple, Pear, Peach, Bitter Orange","Jasmine Sambac, Orange Blossom, Green Tea, Heliotrope, Violet, Damask Rose","White Woods, Amber, Virginian Cedar"
Lolita Lempicka L Eau En Blanc,Lolita Lempicka,"Iris, Violet Leaf","Violet, Sour Cherry, Raspberry, Licorice","Musk, Heliotrope, Tonka Bean, Vetiver"
Elle L Aime a La Folie,Lolita Lempicka,"Mandarin Orange, Bergamot","Ylang-ylang, Jasmine","Myrhh, Amber, Sandalwood"
Fleur Du Desert,Louis Vuitton,"Honey, Cinnamon","Jasmine, Rose, Orange Blossom","Agarwood (oud), Ambroxan, Ambrette (musk Mallow)"
Pansy,Lush,"Orange Blossom, Rosemary","Blackberry, Floral Notes, Bergamot","Galbanum, Labdanum"
Gardenia,M Micallef,"Gardenia, Peach","Gardenia, Jasmine, Ylang-ylang, Sandalwood","White Musk, Ambergris"
Osaito,M Micallef,"Sea Notes, Citruses, Grapefruit","Myrtle, Marigold","Musk, Exotic Woods, Sandalwood, Amber"
Note Vanillee Nectar,M Micallef,"Mandarin Orange, Citruses",Jasmine,"Vanilla, Rum, Sandalwood, Cognac, Amber"
Pure Extreme Nectar,M Micallef,"Rose, Magnolia",Jasmine,"White Musk, Amber, Precious Woods"
Niche Royal Rouge,Maison Alhambra,"Bitter Orange, Pink Pepper, Bergamot, Fruits","Ylang-ylang, Jasmine Sambac, Rose, Lily-of-the-valley","Patchouli, Sandalwood, Amber, Vanilla"
Crazy for Oud,Mancera,"Laotian Oud, Leather, Bergamot","Tiramisu, Bulgarian Rose, Violet, Patchouli, White Magnolia","Vanilla, Woody Notes, White Musk, Amber, Oakmoss"
Daisy Eau so Fresh,Marc Jacobs,"Green Notes, Raspberry, Pear, Grapefruit","Violet, Litchi, Apple Blossom, Rose, Jasmine","Musk, Plum, Virginia Cedar"
Moschino Forever,Moschino,"Kumquat, Star Anise, Bergamot","Pepper, Clary Sage, Tonka Bean","Sandalwood, Vetiver, Musk"
A Men Fantasm,Mugler,"Pink Pepper, Bergamot, Citrus","Dark Chocolate, Clary Sage",Patchouli
Alien Sunessence Edition Limitee 2011 or D Ambre,Mugler,Kiwi,"Jasmine, Orchid, Vanille","Amber, Woodsy Notes"
Angel Aqua Chic 2013,Mugler,"Raspberry Bloom, Green Apple",Rose Water,"Patchouli, Vanilla"
Angel Garden of Stars Violette Angel,Mugler,"Sugar, Violet Leaf, Hiacynth","Violet, Woodsy Notes","Patchouli, Vanilla, Oakmoss"
Musc Noir for Her,Narciso Rodriguez,Plum,"Musk, Heliotrope",Suede
Narciso Eau De Toilette,Narciso Rodriguez,"Bulgarian Rose, Peony",Musk,"White Cedar Extract, Cedar, Vetiver"
Rosas Vermelhas,Natura,"Grapefruit, Apple, Black Pepper","Pink Peony, Magnolia","Patchouli, Sandalwood"
Amasso,Natura,"Apple, Violet Leaf, Bergamot","Cinnamon, Pink Pepper, Geranium","Musk, Cedar, Amber"
Beijo De Humor,Natura,"Cinnamon, Cardamom, Ginger, Priprioca, Pear, Mandarin Orange","Plum, Milk, Jasmine","Sandalwood, Caramel, Vanilla, Cashmeran, Moss"
Humor a Rigor,Natura,"Cardamom, Apple, Grapefruit","Violet, Heliotrope","Sandalwood, Musk, Amber"
Kaiak O2,Natura,"Watery Notes, Lemon, Pink Pepper, Bergamot, Mint, Ginger, Pepper, Priprioca, Nutmeg","Water Lily, Jasmine, Rose","Musk, Cedar, Amber"
Kriska Descoberta,Natura,"Fruity Notes, Citruses","Ylang-ylang, Orange Blossom","Vanilla, Amber, Woody Notes"
Luna Ilumina,Natura,"Pink Pepper, Black Currant, Pear, Green Apple, Mandarin Orange, Cardamom","Rose, Lily of the Valley, Cashmeran","Patchouli, Musk"
Frescor Capitiu,Natura,"Red Fruits, Pink Pepper, Mandarin Orange","Tiare Flower, Capitiú, Bulgarian Rose","Bourbon Vanilla, Sandalwood, Amber"
Amora Vermelha E Jabuticaba,Natura,"Cherry, Red Mulberry, Pomegranate, Litchi, Pear, Brazilian Mandarin, Orange","Blackberry, Jabuticaba, Plum, Magnolia, False Jasmine, Lily-of-the-valley","Vanilla, Musk, Caramel, Amber, Tonka Bean, Sandalwood"
Munegu,Nishane,"Orange, Cedar","Cumin, Cardamom, Nutmeg, Geranium, Ylang-ylang","Patchouli, Labdanum, Amber, Olibanum, Tobacco"
Sultan Vetiver,Nishane,"Java Vetiver Oil, Anise, Bergamot, Pepper","Bourbon Vetiver, Haitian Vetiver, Neroli, Tonka Bean","Vetiver, Leather, Amber"
Fan Your Flames,Nishane,"Coconut, Rum","Tobacco, Tonka Bean","Chinese Cedar, Oakmoss"
214 Musk Cedro,O Boticario,"Black Pepper, Cardamon, Sicilian Bergamot","Cedar Essence, Cinnamon, Pepper","Leather, Woodsy Notes, Belambra Tree"
Capricho,O Boticario,"Red Fruits, Bergamot, Green Notes, Mint, Pepper","Almond, Freesia, Tonka Bean, Cyclamen, Jasmine","Vanilla, Amber, Musk, Cedar, Sandalwood"
Capricho Bemyself,O Boticario,"Mandarin Orange, Bergamot","Jasmine, Violet, Lilac, Cyclamen, Rose","Coconut, Vanilla, Musk, Sandalwood, Cedar"
Dr Botica Pocao Da Amizade,O Boticario,"Lavender, Rosemary, Apricot","Orange Blossom, Lily-of-the-valley, Jasmine","Musk, Powdery Notes, Sandalowood"
Floratta in Rose,O Boticario,"Pink Pepper, Fruity Notes, Peach, Mandarin Orange, Apricot, Cassis","Tincture of Rose, Gardenia, Ylang-ylang, Lily-of-the-valley","Musk, Woodsy Notes"
Linda Miami Sunset,O Boticario,"Red Berries, Mandarin Orange, Bergamot, Angelica","Jasmine, Gardenia, Lily-of-the-valley, Rose","Amber, Tonka Bean, Vanilla, Sandalwood, Leather, Labdanum"
