perfume,brand,top notes,mid notes,base notes
Campus,Molinard,"Pineapple, Apple, Lemon","Geranium, Lavender, Sandalwood","Patchouli, Amberwood, Musk"
Veneno,Miguel Matos,"Narcissus, Cypriol Oil or Nagarmotha, Saffron, Osmanthus","Cade Oil, Civet, Patchouli, Lily-of-the-valley, Amber, Rose","Peru Balsam, Costus, Musk, Ambrette (musk Mallow), Oakmoss, Tonka Bean"
Slightly B Tch,Filippo Sorcinelli,"Leather, Clementine, Mint, Bitter Orange, Green Almond","Ylang-ylang, Artemisia, Hawthorn, Labdanum","Cedar, Pine Tree"
Souvenir,Faberlic,"Freesia, Raspberry, Litchi","Lily-of-the-valley, Lily, Jasmine, Ylang-ylang, Rose, Peony","Patchouli, White Musk"
Love Pulse,Avon,Carambola (star Fruit),Rose,"Musk, Cedar"
Egeo on You,O Boticario,"Mint, Eucalyptus, Cardamom, Pineapple, Bergamot, Peach, Melon","Fenugreek, Woody Notes, Sage, Green Leaves, Lavender, Galbanum","Milk, Vetiver, Benzoin, Sandalwood, Amber, Musk"
Uviolet,Faberlic,"Green Leaves, Pink Grapefruit","Flowers, Magnolia, Orchid, Blackberry","White Wood, Amber, Vanilla"
Scarlet Rain,Mandarina Duck,"Blood Orange, Red Currant","Cyclamen, Orchid, Rose","Benzoin, Amber, Musk"
Western Leather White,Alexandre J,"Apple, Rhubarb, Red Berries","Pineapple, Pear, Black Currant, Freesia, Rose, Jasmine","White Musk, Violet, Amberwood, Moss"
Little Mermaid,Disney,Jasmine Sambac,Tuberose,Almond
Wild Orange,Fragrance Du Bois,"Orange, Mandarin Orange, Lemon, Bergamot","Orange Blossom, Lily of the Valley, Cypress","Sandal, Cedar, Patchouli, Vetiver"
Vf Virginia Fonseca Honey,We Pink,"Blood Orange, Peach, Cardamom","Rum, Cognac, Jasmine","Vanilla, Patchouli, Sandalwood"
Muguet Du Bonheur 2021,Caron,"Watermelon, Lime, Nashi Pear, Bergamot, Italian Mandarin","Lily-of-the-valley, Turkish Rose, Rose","Patchouli, Moss, Virginian Cedar"
Success,Trump,"Juniper, Coriander, Red Currant","Bamboo, Ginger, Geranium","Birch, Vetiver, Musk, Tonka Bean"
Chic Blossom,Haute Fragrance Company Hfc,"Indian Jasmine, Italian Lemon, Italian Mandarin","Jasmine Sambac, Amber","Musk, Benzoin, Tobacco"
Synthetic Nature,Frederic Malle,"Black Currant, Lily of the Valley, Basil","Jasmine, Hyacinth, Ylang Ylang",Patchouli
Lagerfeld Femme,Karl Lagerfeld,"Rhubarb, Green Mandarin, Elemi Resin","Narcissus, Lily","Cedar, Musk, Cherry"
Pearl,Arabesque Perfumes,"Green Apple, Guava","Sweet Notes, Tonka Bean, Peach, Orange","White Musk, White Flowers, Vanilla"
Sweet Sin,Vivamor Parfums,"Peach, Dried Apricot","Rum, Benzoin, Tonka Bean","Indonesian Patchouli Leaf, Madagascar Vanilla, White Musk"
Tutti Twilly D Hermes,Hermes,Litchi,Ginger Flower,Musk
Sankai Black,Bi Es,"Lemon, Orange Leaf, Pineapple","Lavender, Geranium, Clary Sage, Lily-of-the-valley, Rose","Musk, Sandalwood, Cedar"
Forest Oud,The Dua Brand,"Pine Needles, Grass",Palisander Rosewood,"Amber, Agarwood (oud)"
Wood Flake,J Scent,"Hinoki Wood, Cedar","Vetiver, Rose","Guaiac Wood, Vanilla, Musk, Sandalwood"
Glacier Athletic,Oriflame,"Orange, Lemon, Sea Water, Bergamot","Artemisia, Cardamom","Sandalwood, Guaiac Wood, Amber, Tonka Bean"
Fiori Di Luna,Bi Es,"Mandarin Orange, Grapefruit","Orange, Peach","Woody Notes, Musk"
Svetskaya Lvitsa,Brocard,"Green Apple, Black Currant, Plum","Rose, Freesia, Lily-of-the-valley","Musk, Cedar, Sandalwood"
Sunshine Kiss,Avon,Carambola (star Fruit),Frangipani,Musk
Away Weekend Man,Abercrombie Fitch,"Bergamot, Apple, Cardamom, Clementine","Lavender, Clary Sage, Cypress, Rosemary","Atlas Cedar, Patchouli, Cacao"
Sepia,Aftelier,"Mandarin Orange, Grapefruit, Cedar","Jasmine, Big Strawberry, Coffee, Cacao, Lotus","Ambergris, White Tobacco, Boletus Edulis, Indole, Agarwood (oud), Labdanum"
Rives,Ellis Brooklyn,"Neroli, Petitgrain","Lavender, Orange Blossom","Cashmere Wood, White Suede"
Celebre Ice,Avon,"Grapefruit, Green Notes, Bergamot, Violet Leaf","Rose, Freesia, Peach","Musk, Woody Notes, Vanilla"
Purple Elixir,Alyssa Ashley,"Star Anise, Jasmine, Solar Notes, Aldehydes","Jasmine, Orange Blossom, Heliotrope, Cashmere Wood","Amber, Musk, Vetiver"
Gaultier Divine Le Parfum,Jean Paul Gaultier,"Solar Notes, Lily","Frangipani, Sea Salt","Amber, Benzoin"
Eye to Eye Vlublena,Faberlic,"Cinnamon, Apple, Pineapple","Toffee, Caramel, Vanilla, Peach, Jasmine, Violet",Tonka Bean
Shisha Lounge,Ricardo Ramos Perfumes De Autor,"Anise, Red Fruits, Hazelnut, Neroli","Tobacco, Labdanum, Oakmoss, Patchouli","Amber, Madagascar Vanilla, Tonka Bean, Musk"
Filth,Aaron Terence Hughes,"Gardenia, Jasmine Sambac","Amber, Dark Chocolate","Leather, Patchouli, Natural Musk"
Dragon,Boadicea the Victorious,"Cinnamon, Saffron","Incense, Magnolia, Amber","Cashmere Musk, Vanilla"
Deep Dark Vanilla,Ds Durga,"Cabreuva, Orchid, Pink Pepper","Cypress, Vanilla Leaves, Vine","Dark Patchouli, Vanilla Absolute, Hay"
